opp_id,order_id,status,account_id,close_month,order_month,crm_amount_eur,erp_amount_eur,diff_eur
OPP-00012,SO-00010,MATCHED,C0008,2025-05,2025-05,90227.39,90227.39,0.0
OPP-00014,SO-00011,MATCHED,C0070,2025-02,2025-02,22326.48,22326.48,0.0
OPP-00015,SO-00012,MATCHED,C0100,2025-01,2025-01,29995.44,29995.44,0.0
OPP-00017,SO-00013,MATCHED,C0103,2025-11,2025-11,116450.06,116450.06,0.0
OPP-00018,SO-00014,MATCHED,C0050,2025-01,2025-01,32299.61,32299.61,0.0
OPP-00022,SO-00016,MATCHED,C0017,2025-12,2025-12,5080.36,5080.36,0.0
OPP-00023,SO-00017,MATCHED,C0077,2025-01,2025-01,7865.92,7865.92,0.0
OPP-00024,SO-00018,MATCHED,C0028,2025-07,2025-07,21376.18,21376.18,0.0
OPP-00025,SO-00019,MATCHED,C0083,2025-10,2025-10,38044.63,38044.63,0.0
OPP-00028,SO-00022,MATCHED,C0111,2025-02,2025-02,96225.75,96225.75,0.0
OPP-00029,SO-00023,MATCHED,C0063,2025-12,2025-12,18717.31,18717.31,0.0
OPP-00031,SO-00024,MATCHED,C0114,2025-01,2025-01,30906.25,30906.25,0.0
OPP-00036,SO-00027,MATCHED,C0092,2025-07,2025-07,24178.87,24178.87,0.0
OPP-00037,SO-00028,MATCHED,C0113,2025-09,2025-09,75888.38,75888.38,0.0
OPP-00042,SO-00030,MATCHED,C0052,2025-04,2025-04,36597.88,36597.88,0.0
OPP-00043,SO-00031,MATCHED,C0089,2025-10,2025-10,27946.51,27946.51,0.0
OPP-00047,SO-00034,MATCHED,C0001,2025-01,2025-01,10855.96,10855.96,0.0
OPP-00050,SO-00036,MATCHED,C0014,2025-02,2025-02,28695.3,28695.3,0.0
OPP-00054,SO-00038,MATCHED,C0021,2025-10,2025-10,11966.06,11966.06,0.0
OPP-00055,SO-00039,MATCHED,C0095,2025-11,2025-11,32525.07,32525.07,0.0
OPP-00056,SO-00040,MATCHED,C0037,2025-07,2025-07,21331.89,21331.89,0.0
OPP-00057,SO-00041,MATCHED,C0018,2025-09,2025-09,105420.12,105420.12,0.0
OPP-00059,SO-00042,MATCHED,C0049,2025-08,2025-08,8842.3,8842.3,0.0
OPP-00060,SO-00043,MATCHED,C0073,2025-04,2025-04,104408.02,104408.02,0.0
OPP-00062,SO-00045,MATCHED,C0030,2025-10,2025-10,27022.83,27022.83,0.0
OPP-00064,SO-00046,MATCHED,C0107,2025-09,2025-09,17876.65,17876.65,0.0
OPP-00066,SO-00048,MATCHED,C0007,2025-07,2025-07,21675.3,21675.3,0.0
OPP-00067,SO-00049,MATCHED,C0090,2025-06,2025-06,10893.39,10893.39,0.0
OPP-00068,SO-00050,MATCHED,C0019,2025-09,2025-09,3377.29,3377.29,0.0
OPP-00070,SO-00051,MATCHED,C0018,2025-09,2025-09,25329.62,25329.62,0.0
OPP-00073,SO-00054,MATCHED,C0017,2025-04,2025-04,34036.46,34036.46,0.0
OPP-00074,SO-00055,MATCHED,C0057,2025-04,2025-04,19653.39,19653.39,0.0
OPP-00075,SO-00056,MATCHED,C0028,2025-03,2025-03,60082.2,60082.2,0.0
OPP-00077,SO-00058,MATCHED,C0081,2025-09,2025-09,44125.57,44125.57,0.0
OPP-00078,SO-00059,MATCHED,C0102,2025-07,2025-07,111809.44,111809.44,0.0
OPP-00079,SO-00060,MATCHED,C0110,2025-02,2025-02,10489.45,10489.45,0.0
OPP-00081,SO-00061,MATCHED,C0047,2025-03,2025-03,24058.56,24058.56,0.0
OPP-00082,SO-00062,MATCHED,C0083,2025-06,2025-06,23618.67,23618.67,0.0
OPP-00083,SO-00063,MATCHED,C0021,2025-09,2025-09,63800.22,63800.22,0.0
OPP-00086,SO-00064,MATCHED,C0061,2025-09,2025-09,31723.53,31723.53,0.0
OPP-00087,SO-00065,MATCHED,C0013,2025-12,2025-12,8465.62,8465.62,0.0
OPP-00089,SO-00068,MATCHED,C0009,2025-10,2025-10,17229.34,17229.34,0.0
OPP-00090,SO-00069,MATCHED,C0054,2025-10,2025-10,39207.53,39207.53,0.0
OPP-00093,SO-00070,MATCHED,C0109,2025-03,2025-03,27514.69,27514.69,0.0
OPP-00095,SO-00072,MATCHED,C0050,2025-11,2025-11,20258.13,20258.13,0.0
OPP-00096,SO-00073,MATCHED,C0054,2025-05,2025-05,12340.33,12340.33,0.0
OPP-00098,SO-00074,MATCHED,C0097,2025-10,2025-10,22908.29,22908.29,0.0
OPP-00100,SO-00075,MATCHED,C0060,2025-11,2025-11,86467.28,86467.28,0.0
OPP-00101,SO-00076,MATCHED,C0043,2025-03,2025-03,30460.23,30460.23,0.0
OPP-00103,SO-00077,MATCHED,C0091,2025-05,2025-05,8152.2,8152.2,0.0
OPP-00105,SO-00079,MATCHED,C0036,2025-03,2025-03,142603.25,142603.25,0.0
OPP-00108,SO-00081,MATCHED,C0023,2025-04,2025-04,19512.52,19512.52,0.0
OPP-00109,SO-00082,MATCHED,C0062,2025-02,2025-02,5562.24,5562.24,0.0
OPP-00110,SO-00083,MATCHED,C0005,2025-07,2025-07,14177.21,14177.21,0.0
OPP-00111,SO-00084,MATCHED,C0038,2025-11,2025-11,25851.7,25851.7,0.0
OPP-00112,SO-00085,MATCHED,C0084,2025-12,2025-12,21937.32,21937.32,0.0
OPP-00113,SO-00086,MATCHED,C0001,2025-05,2025-05,26676.57,26676.57,0.0
OPP-00117,SO-00089,MATCHED,C0104,2025-09,2025-09,23591.23,23591.23,0.0
OPP-00119,SO-00090,MATCHED,C0004,2025-02,2025-02,13168.25,13168.25,0.0
OPP-00122,SO-00091,MATCHED,C0031,2025-12,2025-12,93865.47,93865.47,0.0
OPP-00123,SO-00092,MATCHED,C0098,2025-07,2025-07,33790.02,33790.02,0.0
OPP-00124,SO-00093,MATCHED,C0050,2025-10,2025-10,34151.23,34151.23,0.0
OPP-00127,SO-00096,MATCHED,C0021,2025-02,2025-02,24183.3,24183.3,0.0
OPP-00129,SO-00098,MATCHED,C0050,2025-07,2025-07,15958.25,15958.25,0.0
OPP-00130,SO-00099,MATCHED,C0016,2025-04,2025-04,28488.86,28488.86,0.0
OPP-00132,SO-00100,MATCHED,C0023,2025-07,2025-07,66246.09,66246.09,0.0
OPP-00134,SO-00101,MATCHED,C0051,2025-01,2025-01,32113.1,32113.1,0.0
OPP-00141,SO-00103,MATCHED,C0104,2025-01,2025-01,97359.99,97359.99,0.0
OPP-00142,SO-00104,MATCHED,C0118,2025-10,2025-10,28886.89,28886.89,0.0
OPP-00143,SO-00105,MATCHED,C0039,2025-07,2025-07,16398.0,16398.0,0.0
OPP-00144,SO-00106,MATCHED,C0113,2025-01,2025-01,27495.01,27495.01,0.0
OPP-00145,SO-00107,MATCHED,C0016,2025-04,2025-04,8000.59,8000.59,0.0
OPP-00146,SO-00108,MATCHED,C0030,2025-06,2025-06,28532.15,28532.15,0.0
OPP-00147,SO-00109,MATCHED,C0025,2025-06,2025-06,17864.81,17864.81,0.0
OPP-00148,SO-00110,MATCHED,C0006,2025-02,2025-02,28116.21,28116.21,0.0
OPP-00149,SO-00111,MATCHED,C0014,2025-02,2025-02,25024.38,25024.38,0.0
OPP-00151,SO-00112,MATCHED,C0071,2025-01,2025-01,19891.79,19891.79,0.0
OPP-00152,SO-00113,MATCHED,C0098,2025-11,2025-11,18968.76,18968.76,0.0
OPP-00156,SO-00115,MATCHED,C0015,2025-05,2025-05,12665.39,12665.39,0.0
OPP-00157,SO-00116,MATCHED,C0050,2025-03,2025-03,53700.82,53700.82,0.0
OPP-00158,SO-00117,MATCHED,C0105,2025-07,2025-07,64378.76,64378.76,0.0
OPP-00160,SO-00118,MATCHED,C0040,2025-07,2025-07,35941.74,35941.74,0.0
OPP-00161,SO-00119,MATCHED,C0044,2025-02,2025-02,60822.51,60822.51,0.0
OPP-00162,SO-00120,MATCHED,C0018,2025-02,2025-02,25298.14,25298.14,0.0
OPP-00164,SO-00121,MATCHED,C0039,2025-12,2025-12,20973.42,20973.42,0.0
OPP-00169,SO-00123,MATCHED,C0053,2025-07,2025-07,26169.51,26169.51,0.0
OPP-00170,SO-00124,MATCHED,C0048,2025-06,2025-06,28799.88,28799.88,0.0
OPP-00173,SO-00126,MATCHED,C0042,2025-12,2025-12,41872.6,41872.6,0.0
OPP-00176,SO-00128,MATCHED,C0049,2025-02,2025-02,29284.82,29284.82,0.0
OPP-00177,SO-00129,MATCHED,C0051,2025-05,2025-05,20128.03,20128.03,0.0
OPP-00179,SO-00131,MATCHED,C0003,2025-02,2025-02,7869.02,7869.02,0.0
OPP-00180,SO-00132,MATCHED,C0081,2025-11,2025-11,21252.24,21252.24,0.0
OPP-00183,SO-00133,MATCHED,C0074,2025-01,2025-01,61780.56,61780.56,0.0
OPP-00186,SO-00134,MATCHED,C0103,2025-09,2025-09,28892.81,28892.81,0.0
OPP-00194,SO-00138,MATCHED,C0004,2025-06,2025-06,73475.71,73475.71,0.0
OPP-00196,SO-00139,MATCHED,C0033,2025-06,2025-06,8407.18,8407.18,0.0
OPP-00199,SO-00143,MATCHED,C0039,2025-03,2025-03,38706.48,38706.48,0.0
OPP-00203,SO-00144,MATCHED,C0110,2025-02,2025-02,12546.75,12546.75,0.0
OPP-00205,SO-00146,MATCHED,C0042,2025-03,2025-03,14386.63,14386.63,0.0
OPP-00206,SO-00147,MATCHED,C0055,2025-10,2025-10,62353.02,62353.02,0.0
OPP-00207,SO-00148,MATCHED,C0040,2025-10,2025-10,89604.11,89604.11,0.0
OPP-00208,SO-00149,MATCHED,C0050,2025-03,2025-03,43611.37,43611.37,0.0
OPP-00211,SO-00154,MATCHED,C0055,2025-03,2025-03,20483.07,20483.07,0.0
OPP-00212,SO-00155,MATCHED,C0001,2025-07,2025-07,94960.79,94960.79,0.0
OPP-00213,SO-00156,MATCHED,C0064,2025-01,2025-01,24789.71,24789.71,0.0
OPP-00215,SO-00157,MATCHED,C0068,2025-02,2025-02,9945.88,9945.88,0.0
OPP-00216,SO-00158,MATCHED,C0082,2025-05,2025-05,10265.34,10265.34,0.0
OPP-00217,SO-00159,MATCHED,C0078,2025-11,2025-11,89614.59,89614.59,0.0
OPP-00218,SO-00160,MATCHED,C0113,2025-05,2025-05,106121.42,106121.42,0.0
OPP-00219,SO-00161,MATCHED,C0082,2025-11,2025-11,10659.65,10659.65,0.0
OPP-00220,SO-00162,MATCHED,C0022,2025-08,2025-08,15550.03,15550.03,0.0
OPP-00221,SO-00163,MATCHED,C0007,2025-05,2025-05,50047.68,50047.68,0.0
OPP-00224,SO-00165,MATCHED,C0099,2025-02,2025-02,14319.42,14319.42,0.0
OPP-00226,SO-00166,MATCHED,C0070,2025-10,2025-10,11744.15,11744.15,0.0
OPP-00227,SO-00167,MATCHED,C0035,2025-12,2025-12,15447.96,15447.96,0.0
OPP-00228,SO-00168,MATCHED,C0079,2025-04,2025-04,65767.86,65767.86,0.0
OPP-00232,SO-00170,MATCHED,C0067,2025-01,2025-01,83957.07,83957.07,0.0
OPP-00235,SO-00172,MATCHED,C0072,2025-08,2025-08,20692.75,20692.75,0.0
OPP-00236,SO-00173,MATCHED,C0070,2025-08,2025-08,83620.94,83620.94,0.0
OPP-00238,SO-00174,MATCHED,C0025,2025-06,2025-06,10630.93,10630.93,0.0
OPP-00240,SO-00176,MATCHED,C0060,2025-03,2025-03,8929.06,8929.06,0.0
OPP-00242,SO-00178,MATCHED,C0058,2025-08,2025-08,13393.26,13393.26,0.0
OPP-00244,SO-00180,MATCHED,C0009,2025-04,2025-04,23340.39,23340.39,0.0
OPP-00245,SO-00181,MATCHED,C0061,2025-06,2025-06,18169.0,18169.0,0.0
OPP-00246,SO-00182,MATCHED,C0095,2025-08,2025-08,30601.99,30601.99,0.0
OPP-00247,SO-00183,MATCHED,C0054,2025-02,2025-02,12678.51,12678.51,0.0
OPP-00249,SO-00184,MATCHED,C0117,2025-12,2025-12,22056.37,22056.37,0.0
OPP-00250,SO-00185,MATCHED,C0052,2025-03,2025-03,13060.17,13060.17,0.0
OPP-00254,SO-00186,MATCHED,C0009,2025-11,2025-11,20651.34,20651.34,0.0
OPP-00255,SO-00187,MATCHED,C0021,2025-12,2025-12,33352.34,33352.34,0.0
OPP-00260,SO-00188,MATCHED,C0092,2025-06,2025-06,7891.42,7891.42,0.0
OPP-00261,SO-00189,MATCHED,C0014,2025-02,2025-02,14170.58,14170.58,0.0
OPP-00264,SO-00192,MATCHED,C0118,2025-05,2025-05,21853.56,21853.56,0.0
OPP-00271,SO-00195,MATCHED,C0092,2025-03,2025-03,31756.86,31756.86,0.0
OPP-00273,SO-00196,MATCHED,C0059,2025-12,2025-12,11571.72,11571.72,0.0
OPP-00274,SO-00197,MATCHED,C0077,2025-08,2025-08,77769.77,77769.77,0.0
OPP-00276,SO-00199,MATCHED,C0052,2025-03,2025-03,28667.51,28667.51,0.0
OPP-00277,SO-00200,MATCHED,C0080,2025-12,2025-12,14799.79,14799.79,0.0
OPP-00278,SO-00201,MATCHED,C0098,2025-01,2025-01,9586.65,9586.65,0.0
OPP-00280,SO-00203,MATCHED,C0088,2025-04,2025-04,20466.11,20466.11,0.0
OPP-00281,SO-00204,MATCHED,C0048,2025-04,2025-04,39109.01,39109.01,0.0
OPP-00282,SO-00205,MATCHED,C0101,2025-03,2025-03,30805.15,30805.15,0.0
OPP-00283,SO-00206,MATCHED,C0030,2025-04,2025-04,12705.74,12705.74,0.0
OPP-00285,SO-00207,MATCHED,C0090,2025-06,2025-06,20034.92,20034.92,0.0
OPP-00287,SO-00209,MATCHED,C0023,2025-04,2025-04,50358.55,50358.55,0.0
OPP-00291,SO-00210,MATCHED,C0095,2025-09,2025-09,5618.92,5618.92,0.0
OPP-00292,SO-00211,MATCHED,C0049,2025-10,2025-10,11903.89,11903.89,0.0
OPP-00295,SO-00212,MATCHED,C0038,2025-10,2025-10,22795.96,22795.96,0.0
OPP-00296,SO-00213,MATCHED,C0067,2025-03,2025-03,8173.39,8173.39,0.0
OPP-00297,SO-00214,MATCHED,C0114,2025-01,2025-01,16001.65,16001.65,0.0
OPP-00299,SO-00215,MATCHED,C0093,2025-02,2025-02,13930.63,13930.63,0.0
OPP-00301,SO-00216,MATCHED,C0119,2025-06,2025-06,34168.38,34168.38,0.0
OPP-00303,SO-00219,MATCHED,C0026,2025-03,2025-03,19025.0,19025.0,0.0
OPP-00304,SO-00220,MATCHED,C0041,2025-09,2025-09,13500.79,13500.79,0.0
OPP-00307,SO-00221,MATCHED,C0030,2025-12,2025-12,25888.28,25888.28,0.0
OPP-00308,SO-00222,MATCHED,C0088,2025-02,2025-02,21619.5,21619.5,0.0
OPP-00310,SO-00223,MATCHED,C0077,2025-04,2025-04,28424.85,28424.85,0.0
OPP-00311,SO-00224,MATCHED,C0062,2025-05,2025-05,33752.47,33752.47,0.0
OPP-00312,SO-00225,MATCHED,C0011,2025-02,2025-02,61258.3,61258.3,0.0
OPP-00317,SO-00228,MATCHED,C0075,2025-04,2025-04,25451.69,25451.69,0.0
OPP-00318,SO-00229,MATCHED,C0029,2025-11,2025-11,16549.36,16549.36,0.0
OPP-00322,SO-00230,MATCHED,C0043,2025-08,2025-08,16525.36,16525.36,0.0
OPP-00325,SO-00233,MATCHED,C0041,2025-12,2025-12,22105.45,22105.45,0.0
OPP-00326,SO-00234,MATCHED,C0086,2025-08,2025-08,19868.3,19868.3,0.0
OPP-00327,SO-00235,MATCHED,C0104,2025-11,2025-11,49569.93,49569.93,0.0
OPP-00328,SO-00236,MATCHED,C0090,2025-07,2025-07,21571.29,21571.29,0.0
OPP-00333,SO-00238,MATCHED,C0007,2025-05,2025-05,13241.63,13241.63,0.0
OPP-00334,SO-00239,MATCHED,C0082,2025-12,2025-12,10542.1,10542.1,0.0
OPP-00335,SO-00240,MATCHED,C0023,2025-02,2025-02,59227.92,59227.92,0.0
OPP-00336,SO-00241,MATCHED,C0064,2025-10,2025-10,27619.19,27619.19,0.0
OPP-00337,SO-00242,MATCHED,C0037,2025-08,2025-08,18740.5,18740.5,0.0
OPP-00338,SO-00243,MATCHED,C0021,2025-06,2025-06,26777.68,26777.68,0.0
OPP-00341,SO-00244,MATCHED,C0025,2025-04,2025-04,17443.76,17443.76,0.0
OPP-00344,SO-00246,MATCHED,C0082,2025-01,2025-01,11479.26,11479.26,0.0
OPP-00347,SO-00247,MATCHED,C0057,2025-09,2025-09,10480.15,10480.15,0.0
OPP-00352,SO-00249,MATCHED,C0089,2025-03,2025-03,24254.3,24254.3,0.0
OPP-00353,SO-00250,MATCHED,C0021,2025-03,2025-03,19781.07,19781.07,0.0
OPP-00355,SO-00252,MATCHED,C0044,2025-12,2025-12,26769.49,26769.49,0.0
OPP-00357,SO-00253,MATCHED,C0119,2025-09,2025-09,46095.26,46095.26,0.0
OPP-00360,SO-00254,MATCHED,C0109,2025-01,2025-01,35962.48,35962.48,0.0
OPP-00361,SO-00255,MATCHED,C0061,2025-05,2025-05,75719.82,75719.82,0.0
OPP-00362,SO-00256,MATCHED,C0040,2025-06,2025-06,9431.77,9431.77,0.0
OPP-00364,SO-00257,MATCHED,C0118,2025-04,2025-04,25175.11,25175.11,0.0
OPP-00365,SO-00258,MATCHED,C0002,2025-01,2025-01,55860.92,55860.92,0.0
OPP-00367,SO-00260,MATCHED,C0108,2025-07,2025-07,43259.27,43259.27,0.0
OPP-00368,SO-00261,MATCHED,C0019,2025-10,2025-10,17477.42,17477.42,0.0
OPP-00369,SO-00262,MATCHED,C0115,2025-07,2025-07,95438.77,95438.77,0.0
OPP-00370,SO-00263,MATCHED,C0027,2025-02,2025-02,19540.28,19540.28,0.0
OPP-00372,SO-00265,MATCHED,C0086,2025-11,2025-11,13838.12,13838.12,0.0
OPP-00373,SO-00266,MATCHED,C0006,2025-07,2025-07,36942.32,36942.32,0.0
OPP-00378,SO-00267,MATCHED,C0010,2025-06,2025-06,55146.23,55146.23,0.0
OPP-00379,SO-00268,MATCHED,C0089,2025-09,2025-09,7008.98,7008.98,0.0
OPP-00380,SO-00269,MATCHED,C0062,2025-12,2025-12,13199.62,13199.62,0.0
OPP-00381,SO-00270,MATCHED,C0117,2025-03,2025-03,13377.77,13377.77,0.0
OPP-00383,SO-00271,MATCHED,C0046,2025-08,2025-08,11023.31,11023.31,0.0
OPP-00389,SO-00275,MATCHED,C0066,2025-04,2025-04,46984.87,46984.87,0.0
OPP-00392,SO-00278,MATCHED,C0001,2025-05,2025-05,21962.4,21962.4,0.0
OPP-00393,SO-00279,MATCHED,C0091,2025-05,2025-05,35366.05,35366.05,0.0
OPP-00399,SO-00283,MATCHED,C0088,2025-12,2025-12,16946.05,16946.05,0.0
OPP-00400,SO-00284,MATCHED,C0002,2025-12,2025-12,29464.78,29464.78,0.0
OPP-00402,SO-00285,MATCHED,C0050,2025-11,2025-11,67223.13,67223.13,0.0
OPP-00410,SO-00291,MATCHED,C0064,2025-01,2025-01,23454.02,23454.02,0.0
OPP-00411,SO-00292,MATCHED,C0013,2025-05,2025-05,27988.46,27988.46,0.0
OPP-00412,SO-00293,MATCHED,C0046,2025-12,2025-12,14177.52,14177.52,0.0
OPP-00413,SO-00294,MATCHED,C0004,2025-04,2025-04,55032.82,55032.82,0.0
OPP-00415,SO-00296,MATCHED,C0058,2025-11,2025-11,46596.56,46596.56,0.0
OPP-00416,SO-00297,MATCHED,C0009,2025-12,2025-12,32198.05,32198.05,0.0
OPP-00419,SO-00298,MATCHED,C0118,2025-05,2025-05,35428.89,35428.89,0.0
OPP-00421,SO-00299,MATCHED,C0033,2025-10,2025-10,26097.85,26097.85,0.0
OPP-00422,SO-00300,MATCHED,C0031,2025-01,2025-01,126066.86,126066.86,0.0
OPP-00425,SO-00301,MATCHED,C0101,2025-07,2025-07,30992.65,30992.65,0.0
OPP-00427,SO-00302,MATCHED,C0046,2025-09,2025-09,51823.48,51823.48,0.0
OPP-00428,SO-00303,MATCHED,C0062,2025-07,2025-07,14872.65,14872.65,0.0
OPP-00429,SO-00304,MATCHED,C0032,2025-11,2025-11,14325.6,14325.6,0.0
OPP-00430,SO-00305,MATCHED,C0059,2025-06,2025-06,77131.33,77131.33,0.0
OPP-00431,SO-00306,MATCHED,C0093,2025-12,2025-12,8131.83,8131.83,0.0
OPP-00432,SO-00307,MATCHED,C0042,2025-04,2025-04,21812.6,21812.6,0.0
OPP-00433,SO-00308,MATCHED,C0067,2025-11,2025-11,36020.04,36020.04,0.0
OPP-00434,SO-00309,MATCHED,C0014,2025-08,2025-08,7304.61,7304.61,0.0
OPP-00436,SO-00310,MATCHED,C0017,2025-11,2025-11,50985.53,50985.53,0.0
OPP-00437,SO-00311,MATCHED,C0045,2025-08,2025-08,7336.24,7336.24,0.0
OPP-00442,SO-00313,MATCHED,C0056,2025-01,2025-01,27116.41,27116.41,0.0
OPP-00446,SO-00315,MATCHED,C0051,2025-09,2025-09,14094.84,14094.84,0.0
OPP-00449,SO-00316,MATCHED,C0074,2025-09,2025-09,8888.23,8888.23,0.0
OPP-00451,SO-00317,MATCHED,C0026,2025-06,2025-06,13558.09,13558.09,0.0
OPP-00452,SO-00318,MATCHED,C0068,2025-06,2025-06,4690.41,4690.41,0.0
OPP-00453,SO-00319,MATCHED,C0048,2025-05,2025-05,53574.8,53574.8,0.0
OPP-00454,SO-00320,MATCHED,C0013,2025-10,2025-10,36006.61,36006.61,0.0
OPP-00455,SO-00321,MATCHED,C0004,2025-05,2025-05,3150.62,3150.62,0.0
OPP-00456,SO-00322,MATCHED,C0015,2025-03,2025-03,63874.35,63874.35,0.0
OPP-00457,SO-00323,MATCHED,C0038,2025-10,2025-10,34686.52,34686.52,0.0
OPP-00458,SO-00324,MATCHED,C0100,2025-05,2025-05,36778.29,36778.29,0.0
OPP-00459,SO-00325,MATCHED,C0063,2025-09,2025-09,51504.25,51504.25,0.0
OPP-00460,SO-00326,MATCHED,C0085,2025-11,2025-11,19088.56,19088.56,0.0
OPP-00461,SO-00327,MATCHED,C0089,2025-03,2025-03,19048.52,19048.52,0.0
OPP-00464,SO-00329,MATCHED,C0083,2025-01,2025-01,20558.49,20558.49,0.0
OPP-00465,SO-00330,MATCHED,C0040,2025-10,2025-10,5072.7,5072.7,0.0
OPP-00474,SO-00335,MATCHED,C0117,2025-12,2025-12,72192.34,72192.34,0.0
OPP-00475,SO-00336,MATCHED,C0064,2025-11,2025-11,12450.76,12450.76,0.0
OPP-00476,SO-00337,MATCHED,C0092,2025-02,2025-02,4878.17,4878.17,0.0
OPP-00477,SO-00338,MATCHED,C0084,2025-04,2025-04,20242.19,20242.19,0.0
OPP-00478,SO-00339,MATCHED,C0071,2025-12,2025-12,17503.23,17503.23,0.0
OPP-00479,SO-00340,MATCHED,C0080,2025-09,2025-09,6818.59,6818.59,0.0
OPP-00480,SO-00341,MATCHED,C0025,2025-05,2025-05,11945.53,11945.53,0.0
OPP-00482,SO-00343,MATCHED,C0035,2025-10,2025-10,14674.14,14674.14,0.0
OPP-00483,SO-00344,MATCHED,C0013,2025-04,2025-04,18490.26,18490.26,0.0
OPP-00485,SO-00346,MATCHED,C0072,2025-04,2025-04,41413.61,41413.61,0.0
OPP-00486,SO-00347,MATCHED,C0087,2025-04,2025-04,19830.75,19830.75,0.0
OPP-00487,SO-00348,MATCHED,C0024,2025-12,2025-12,26587.97,26587.97,0.0
OPP-00489,SO-00350,MATCHED,C0069,2025-02,2025-02,32646.41,32646.41,0.0
