order_id,status,order_month,erp_amount_eur,dwh_amount_eur,diff_eur,dwh_rows
SO-00312,MATCHED,2025-03,16779.36,16779.36,0.0,1
SO-00313,MATCHED,2025-01,27116.41,27116.41,0.0,1
SO-00314,MATCHED,2025-09,109565.9,109565.9,0.0,1
SO-00315,MATCHED,2025-09,14094.84,14094.84,0.0,1
SO-00316,MATCHED,2025-09,8888.23,8888.23,0.0,1
SO-00317,MATCHED,2025-06,13558.09,13558.09,0.0,1
SO-00318,MATCHED,2025-06,4690.41,4690.41,0.0,1
SO-00319,MATCHED,2025-05,53574.8,53574.8,0.0,1
SO-00320,MATCHED,2025-10,36006.61,36006.61,0.0,1
SO-00321,MATCHED,2025-05,3150.62,3150.62,0.0,1
SO-00322,MATCHED,2025-03,63874.35,63874.35,0.0,1
SO-00323,MATCHED,2025-10,34686.52,34686.52,0.0,1
SO-00324,MATCHED,2025-05,36778.29,36778.29,0.0,1
SO-00325,MATCHED,2025-09,51504.25,51504.25,0.0,1
SO-00326,MATCHED,2025-11,19088.56,19088.56,0.0,1
SO-00327,MATCHED,2025-03,19048.52,19048.52,0.0,1
SO-00328,MATCHED,2025-04,26254.19,26254.19,0.0,1
SO-00329,MATCHED,2025-01,20558.49,20558.49,0.0,1
SO-00330,MATCHED,2025-10,5072.7,5072.7,0.0,1
SO-00331,MATCHED,2025-07,49906.71,49906.71,0.0,1
SO-00332,MATCHED,2025-07,19070.95,19070.95,0.0,1
SO-00333,MATCHED,2025-05,42449.84,42449.84,0.0,1
SO-00334,MATCHED,2025-11,74348.69,74348.69,0.0,1
SO-00335,MATCHED,2025-12,72192.34,72192.34,0.0,1
SO-00336,MATCHED,2025-11,12450.76,12450.76,0.0,1
SO-00337,MATCHED,2025-02,4878.17,4878.17,0.0,1
SO-00338,MATCHED,2025-04,20242.19,20242.19,0.0,1
SO-00339,MATCHED,2025-12,17503.23,17503.23,0.0,1
SO-00340,MATCHED,2025-09,6818.59,6818.59,0.0,1
SO-00341,MATCHED,2025-05,11945.53,11945.53,0.0,1
SO-00342,MATCHED,2025-11,19687.74,19687.74,0.0,1
SO-00343,MATCHED,2025-10,14674.14,14674.14,0.0,1
SO-00344,MATCHED,2025-04,18490.26,18490.26,0.0,1
SO-00345,MATCHED,2025-03,8925.2,8925.2,0.0,1
SO-00346,MATCHED,2025-04,41413.61,41413.61,0.0,1
SO-00347,MATCHED,2025-04,19830.75,19830.75,0.0,1
SO-00348,MATCHED,2025-12,26587.97,26587.97,0.0,1
SO-00349,MATCHED,2025-01,28903.87,28903.87,0.0,1
SO-00350,MATCHED,2025-02,32646.41,32646.41,0.0,1
SO-00351,MATCHED,2025-09,166464.68,166464.68,0.0,1
SO-00352,MATCHED,2025-11,17619.84,17619.84,0.0,1
SO-00353,MATCHED,2025-04,24143.55,24143.55,0.0,1
SO-00354,MATCHED,2025-05,67897.4,67897.4,0.0,1
SO-00356,MATCHED,2025-07,65026.77,65026.77,0.0,1
SO-00357,MATCHED,2025-07,19152.64,19152.64,0.0,1
SO-00359,MATCHED,2025-04,32023.96,32023.96,0.0,1
SO-00360,MATCHED,2025-10,51205.21,51205.21,0.0,1
SO-00361,MATCHED,2025-08,75572.35,75572.35,0.0,1
SO-00362,MATCHED,2025-01,73511.4,73511.4,0.0,1
SO-00363,MATCHED,2025-08,26765.67,26765.67,0.0,1
SO-00364,MATCHED,2025-01,20743.9,20743.9,0.0,1
SO-00365,MATCHED,2025-02,31929.24,31929.24,0.0,1
SO-00366,MATCHED,2025-08,16963.05,16963.05,0.0,1
SO-00367,MATCHED,2025-07,26058.76,26058.76,0.0,1
SO-00368,MATCHED,2025-10,38171.78,38171.78,0.0,1
SO-00369,MATCHED,2025-04,73460.59,73460.59,0.0,1
SO-00370,MATCHED,2025-07,153664.5,153664.5,0.0,1
SO-00371,MATCHED,2025-03,59396.63,59396.63,0.0,1
SO-00372,MATCHED,2025-11,72194.09,72194.09,0.0,1
SO-00373,MATCHED,2025-05,50700.97,50700.97,0.0,1
SO-00374,MATCHED,2025-11,57623.7,57623.7,0.0,1
SO-00375,MATCHED,2025-06,20443.94,20443.94,0.0,1
SO-00376,MATCHED,2025-07,15679.96,15679.96,0.0,1
SO-00377,MATCHED,2025-07,70531.32,70531.32,0.0,1
SO-00378,MATCHED,2025-10,36498.4,36498.4,0.0,1
SO-00379,MATCHED,2025-12,23719.24,23719.24,0.0,1
SO-00380,MATCHED,2025-05,9895.44,9895.44,0.0,1
SO-00381,MATCHED,2025-07,30868.81,30868.81,0.0,1
SO-00382,MATCHED,2025-07,34814.1,34814.1,0.0,1
SO-00383,MATCHED,2025-11,54011.07,54011.07,0.0,1
SO-00384,MATCHED,2025-10,22746.36,22746.36,0.0,1
SO-00385,MATCHED,2025-06,13547.96,13547.96,0.0,1
SO-00386,MATCHED,2025-08,26538.61,26538.61,0.0,1
SO-00387,MATCHED,2025-04,23663.22,23663.22,0.0,1
SO-00388,MATCHED,2025-08,28205.97,28205.97,0.0,1
SO-00389,MATCHED,2025-10,34872.1,34872.1,0.0,1
SO-00391,MATCHED,2025-07,9547.7,9547.7,0.0,1
SO-00392,MATCHED,2025-07,13272.34,13272.34,0.0,1
SO-00393,MATCHED,2025-08,7758.49,7758.49,0.0,1
SO-00394,MATCHED,2025-11,23938.83,23938.83,0.0,1
SO-00395,MATCHED,2025-06,7974.7,7974.7,0.0,1
SO-00396,MATCHED,2025-02,29020.93,29020.93,0.0,1
SO-00397,MATCHED,2025-07,47246.88,47246.88,0.0,1
SO-00398,MATCHED,2025-07,46192.43,46192.43,0.0,1
SO-00399,MATCHED,2025-06,38206.46,38206.46,0.0,1
SO-00400,MATCHED,2025-04,75789.37,75789.37,0.0,1
SO-00401,MATCHED,2025-08,18015.8,18015.8,0.0,1
SO-00402,MATCHED,2025-07,20669.39,20669.39,0.0,1
SO-00403,MATCHED,2025-01,10267.82,10267.82,0.0,1
SO-00404,MATCHED,2025-04,24640.87,24640.87,0.0,1
SO-00405,MATCHED,2025-04,48543.81,48543.81,0.0,1
SO-00407,MATCHED,2025-02,24134.77,24134.77,0.0,1
SO-00408,MATCHED,2025-04,81045.31,81045.31,0.0,1
SO-00409,MATCHED,2025-08,10298.95,10298.95,0.0,1
SO-00410,MATCHED,2025-07,38449.35,38449.35,0.0,1
SO-00411,MATCHED,2025-10,16743.11,16743.11,0.0,1
SO-00412,MATCHED,2025-02,10662.23,10662.23,0.0,1
SO-00413,MATCHED,2025-03,50294.91,50294.91,0.0,1
SO-00415,MATCHED,2025-02,14706.43,14706.43,0.0,1
SO-00416,MATCHED,2025-12,15855.37,15855.37,0.0,1
SO-00417,MATCHED,2025-05,45115.97,45115.97,0.0,1
SO-00418,MATCHED,2025-02,15402.99,15402.99,0.0,1
SO-00419,MATCHED,2025-07,17135.04,17135.04,0.0,1
SO-00420,MATCHED,2025-04,11396.47,11396.47,0.0,1
SO-00421,MATCHED,2025-12,15856.68,15856.68,0.0,1
SO-00422,MATCHED,2025-09,14804.32,14804.32,0.0,1
SO-00423,MATCHED,2025-01,2499.78,2499.78,0.0,1
SO-00424,MATCHED,2025-04,3416.25,3416.25,0.0,1
SO-00425,MATCHED,2025-09,4608.31,4608.31,0.0,1
SO-00426,MATCHED,2025-10,1389.71,1389.71,0.0,1
SO-00427,MATCHED,2025-04,2448.25,2448.25,0.0,1
SO-00428,MATCHED,2025-05,831.39,831.39,0.0,1
SO-00429,MATCHED,2025-07,3191.61,3191.61,0.0,1
SO-00430,MATCHED,2025-05,9610.06,9610.06,0.0,1
SO-00431,MATCHED,2025-08,3578.37,3578.37,0.0,1
SO-00432,MATCHED,2025-05,3032.06,3032.06,0.0,1
SO-00433,MATCHED,2025-03,1980.35,1980.35,0.0,1
SO-00434,MATCHED,2025-09,2923.44,2923.44,0.0,1
SO-00005,MISSING_IN_DWH,2025-02,100086.61,,-100086.61,0
SO-00039,MISSING_IN_DWH,2025-11,32525.07,,-32525.07,0
SO-00040,MISSING_IN_DWH,2025-07,21331.89,,-21331.89,0
SO-00050,MISSING_IN_DWH,2025-09,3377.29,,-3377.29,0
SO-00064,MISSING_IN_DWH,2025-09,31723.53,,-31723.53,0
