order_id,crm_opp_ref,customer_code,order_date,net_amount,currency
SO-00155,OPP-00212,C0001,2025-07-28,94960.79,EUR
SO-00156,OPP-00213,C0064,2025-01-21,24789.71,EUR
SO-00157,OPP-00215,C0068,2025-02-23,10674.98,USD
SO-00158,OPP-00216,C0082,2025-05-24,10265.34,EUR
SO-00159,OPP-00217,C0078,2025-11-30,78609.29,GBP
SO-00160,OPP-00218,C0113,2025-05-14,106121.42,EUR
SO-00161,OPP-00219,C0082,2025-11-17,10659.65,EUR
SO-00162,OPP-00220,C0022,2025-08-28,16781.82,USD
SO-00163,OPP-00221,C0007,2025-05-27,50047.68,EUR
SO-00164,opp-00223,C0007,2025-02-14,68014.01,EUR
SO-00165,OPP-00224,C0099,2025-02-28,14319.42,EUR
SO-00166,OPP-00226,C0070,2025-10-31,11744.15,EUR
SO-00167,OPP-00227,C0035,2025-12-27,15447.96,EUR
SO-00168,OPP-00228,C0079,2025-04-30,65767.86,EUR
SO-00169,OPP-00231,C0047,2025-12-22,14345.89,EUR
SO-00170,OPP-00232,C0067,2025-01-22,90921.67,USD
SO-00171, OPP-00233 ,C0087,2025-11-19,19672.75,EUR
SO-00172,OPP-00235,C0072,2025-08-31,20692.75,EUR
SO-00173,OPP-00236,C0070,2025-08-04,83620.94,EUR
SO-00174,OPP-00238,C0025,2025-06-28,10630.93,EUR
SO-00175,opp-00239,C0119,2025-05-10,19784.66,EUR
SO-00176,OPP-00240,C0060,2025-03-31,8929.06,EUR
SO-00177,,C0023,2025-12-30,6253.64,EUR
SO-00178,OPP-00242,C0058,2025-08-31,13393.26,EUR
SO-00179,,C0113,2025-05-07,47249.59,EUR
SO-00180,OPP-00244,C0009,2025-04-29,23340.39,EUR
SO-00181,OPP-00245,C0061,2025-06-20,18169.0,EUR
SO-00182,OPP-00246,C0095,2025-08-25,33026.11,USD
SO-00183,OPP-00247,C0054,2025-02-19,12678.51,EUR
SO-00184,OPP-00249,C0117,2025-12-28,23163.59,USD
SO-00185,OPP-00250,C0052,2025-03-26,13060.17,EUR
SO-00186,OPP-00254,C0009,2025-11-25,20651.34,EUR
SO-00187,OPP-00255,C0021,2025-12-26,35026.61,USD
SO-00188,OPP-00260,C0092,2025-06-27,7891.42,EUR
SO-00189,OPP-00261,C0014,2025-02-26,14170.58,EUR
SO-00190,OPP-00262,C0101,2025-08-13,3380.38,USD
SO-00191,OPP-00262,C0101,2025-08-13,3879.71,USD
SO-00192,OPP-00264,C0118,2025-05-09,19069.42,GBP
SO-00193,opp-00268,C0057,2025-03-31,27436.12,EUR
SO-00194,OPP-00269,C0065,2025-08-13,28789.53,EUR
SO-00195,OPP-00271,C0092,2025-03-25,31756.86,EUR
SO-00196,OPP-00273,C0059,2025-12-23,10163.11,GBP
SO-00197,OPP-00274,C0077,2025-08-31,77769.77,EUR
SO-00198,opp_00275 ,C0034,2025-06-29,24992.8,USD
SO-00199,OPP-00276,C0052,2025-03-29,28667.51,EUR
SO-00200,OPP-00277,C0080,2025-12-31,14799.79,EUR
SO-00201,OPP-00278,C0098,2025-01-28,10381.9,USD
SO-00202,opp_00279 ,C0090,2025-05-12,26651.72,GBP
SO-00203,OPP-00280,C0088,2025-04-29,20466.11,EUR
SO-00204,OPP-00281,C0048,2025-04-28,33892.89,GBP
SO-00205,OPP-00282,C0101,2025-03-28,33855.53,USD
SO-00206,OPP-00283,C0030,2025-04-26,12705.74,EUR
SO-00207,OPP-00285,C0090,2025-06-26,17374.83,GBP
SO-00208, OPP-00286 ,C0022,2025-05-16,6154.66,USD
SO-00209,OPP-00287,C0023,2025-04-14,50358.55,EUR
SO-00210,OPP-00291,C0095,2025-09-15,6037.31,USD
SO-00211,OPP-00292,C0049,2025-10-27,11903.89,EUR
SO-00212,OPP-00295,C0038,2025-10-31,22795.96,EUR
SO-00213,OPP-00296,C0067,2025-03-22,8982.73,USD
SO-00214,OPP-00297,C0114,2025-01-30,17329.06,USD
SO-00215,OPP-00299,C0093,2025-02-28,13930.63,EUR
SO-00216,OPP-00301,C0119,2025-06-29,34168.38,EUR
SO-00217,OPP-00302,C0089,2025-11-21,22752.42,EUR
SO-00218,OPP-00302,C0089,2025-11-21,32526.48,EUR
SO-00219,OPP-00303,C0026,2025-03-30,16446.23,GBP
SO-00220,OPP-00304,C0041,2025-09-12,13500.79,EUR
SO-00221,OPP-00307,C0030,2025-12-31,25888.28,EUR
SO-00222,OPP-00308,C0088,2025-02-11,21619.5,EUR
SO-00223,OPP-00310,C0077,2025-04-10,28424.85,EUR
SO-00224,OPP-00311,C0062,2025-05-29,33752.47,EUR
SO-00225,OPP-00312,C0011,2025-02-25,61258.3,EUR
SO-00226,OPP-00315,C0065,2025-11-04,57478.18,EUR
SO-00227,OPP_00316,C0007,2025-11-30,38259.0,EUR
SO-00228,OPP-00317,C0075,2025-04-30,27928.99,USD
SO-00229,OPP-00318,C0029,2025-11-27,16549.36,EUR
SO-00230,OPP-00322,C0043,2025-08-31,16525.36,EUR
SO-00231,OPP-00323,C0074,2025-11-27,16807.76,EUR
SO-00232,OPP-00323,C0074,2025-11-27,8464.83,EUR
SO-00233,OPP-00325,C0041,2025-12-31,22105.45,EUR
SO-00234,OPP-00326,C0086,2025-08-29,17194.55,GBP
SO-00235,OPP-00327,C0104,2025-11-18,49569.93,EUR
SO-00236,OPP-00328,C0090,2025-07-29,18540.0,GBP
SO-00237,,C0015,2025-06-14,23986.17,EUR
SO-00238,OPP-00333,C0007,2025-05-07,13241.63,EUR
SO-00239,OPP-00334,C0082,2025-12-27,10542.1,EUR
SO-00240,OPP-00335,C0023,2025-02-28,59227.92,EUR
SO-00241,OPP-00336,C0064,2025-10-25,27619.19,EUR
SO-00242,OPP-00337,C0037,2025-08-31,18740.5,EUR
SO-00243,OPP-00338,C0021,2025-06-27,29084.05,USD
SO-00244,OPP-00341,C0025,2025-04-25,17443.76,EUR
SO-00245,OPP-00343,C0067,2025-12-20,11350.25,USD
SO-00246,OPP-00344,C0082,2025-01-19,11479.26,EUR
SO-00247,OPP-00347,C0057,2025-09-29,10480.15,EUR
SO-00248,OPP_00351,C0052,2025-03-19,32587.68,EUR
SO-00249,OPP-00352,C0089,2025-03-31,24254.3,EUR
SO-00250,OPP-00353,C0021,2025-03-17,21739.83,USD
SO-00251,opp_00354 ,C0092,2025-03-30,26892.58,EUR
SO-00252,OPP-00355,C0044,2025-12-25,26769.49,EUR
SO-00253,OPP-00357,C0119,2025-09-27,46095.26,EUR
SO-00254,OPP-00360,C0109,2025-01-13,35962.48,EUR
SO-00255,OPP-00361,C0061,2025-05-21,75719.82,EUR
SO-00256,OPP-00362,C0040,2025-06-07,9431.77,EUR
SO-00257,OPP-00364,C0118,2025-04-23,21817.41,GBP
SO-00258,OPP-00365,C0002,2025-01-25,55860.92,EUR
SO-00259,OPP_00366,C0063,2025-08-25,72313.0,EUR
SO-00260,OPP-00367,C0108,2025-07-23,43259.27,EUR
SO-00261,OPP-00368,C0019,2025-10-31,17477.42,EUR
SO-00262,OPP-00369,C0115,2025-07-26,95438.77,EUR
SO-00263,OPP-00370,C0027,2025-02-16,19540.28,EUR
SO-00264,,C0053,2025-03-21,30938.12,GBP
SO-00265,OPP-00372,C0086,2025-11-17,12138.7,GBP
SO-00266,OPP-00373,C0006,2025-07-17,36942.32,EUR
SO-00267,OPP-00378,C0010,2025-06-24,55146.23,EUR
SO-00268,OPP-00379,C0089,2025-09-28,7008.98,EUR
SO-00269,OPP-00380,C0062,2025-12-31,13199.62,EUR
SO-00270,OPP-00381,C0117,2025-03-27,14702.46,USD
SO-00271,OPP-00383,C0046,2025-08-21,11023.31,EUR
SO-00272,opp-00385,C0081,2025-09-11,109171.37,EUR
SO-00273,,C0035,2025-01-27,31279.3,EUR
SO-00274,OPP-00388,C0043,2025-11-12,21990.63,EUR
SO-00275,OPP-00389,C0066,2025-04-17,46984.87,EUR
SO-00276,OPP-00390,C0033,2025-04-27,10074.44,USD
SO-00277,,C0050,2025-01-20,30316.2,EUR
SO-00278,OPP-00392,C0001,2025-05-21,21962.4,EUR
SO-00279,OPP-00393,C0091,2025-05-23,35366.05,EUR
SO-00280,OPP_00394,C0039,2025-01-26,35397.9,EUR
SO-00281,OPP-00396,C0044,2025-06-19,4074.3,EUR
SO-00282,OPP-00396,C0044,2025-06-19,5988.95,EUR
SO-00283,OPP-00399,C0088,2025-12-28,16946.05,EUR
SO-00284,OPP-00400,C0002,2025-12-31,29464.78,EUR
SO-00285,OPP-00402,C0050,2025-11-21,67223.13,EUR
SO-00286,OPP-00403,C0085,2025-04-20,42729.27,EUR
SO-00287,OPP-00404,C0061,2025-10-05,42703.08,EUR
SO-00288,,C0068,2025-06-29,34770.19,USD
SO-00289,OPP-00408,C0109,2025-12-24,6290.13,EUR
SO-00290,OPP-00408,C0109,2025-12-24,6228.5,EUR
SO-00291,OPP-00410,C0064,2025-01-31,23454.02,EUR
SO-00292,OPP-00411,C0013,2025-05-29,27988.46,EUR
SO-00293,OPP-00412,C0046,2025-12-23,14177.52,EUR
SO-00294,OPP-00413,C0004,2025-04-23,55032.82,EUR
SO-00295,opp_00414 ,C0061,2025-12-26,37327.06,EUR
SO-00296,OPP-00415,C0058,2025-11-24,46596.56,EUR
SO-00297,OPP-00416,C0009,2025-12-31,32198.05,EUR
SO-00298,OPP-00419,C0118,2025-05-25,30915.26,GBP
SO-00299,OPP-00421,C0033,2025-10-20,27748.91,USD
SO-00300,OPP-00422,C0031,2025-01-19,126066.86,EUR
SO-00301,OPP-00425,C0101,2025-07-14,33636.48,USD
SO-00302,OPP-00427,C0046,2025-09-22,51823.48,EUR
SO-00303,OPP-00428,C0062,2025-07-22,14872.65,EUR
SO-00304,OPP-00429,C0032,2025-11-15,15265.98,USD
SO-00305,OPP-00430,C0059,2025-06-22,66890.41,GBP
SO-00306,OPP-00431,C0093,2025-12-28,8131.83,EUR
SO-00307,OPP-00432,C0042,2025-04-25,21812.6,EUR
SO-00308,OPP-00433,C0067,2025-11-26,38384.53,USD
SO-00309,OPP-00434,C0014,2025-08-27,7304.61,EUR
SO-00310,OPP-00436,C0017,2025-11-23,44724.15,GBP
SO-00311,OPP-00437,C0045,2025-08-18,7336.24,EUR
SO-00312, OPP-00438 ,C0076,2025-03-11,18440.88,USD
SO-00313,OPP-00442,C0056,2025-01-06,27116.41,EUR
SO-00314,OPP-00445,C0105,2025-09-18,117724.19,USD
SO-00315,OPP-00446,C0051,2025-09-26,14094.84,EUR
SO-00316,OPP-00449,C0074,2025-09-28,8888.23,EUR
SO-00317,OPP-00451,C0026,2025-06-28,11757.95,GBP
SO-00318,OPP-00452,C0068,2025-06-29,5094.4,USD
SO-00319,OPP-00453,C0048,2025-05-26,46749.39,GBP
SO-00320,OPP-00454,C0013,2025-10-31,36006.61,EUR
SO-00321,OPP-00455,C0004,2025-05-15,3150.62,EUR
SO-00322,OPP-00456,C0015,2025-03-22,63874.35,EUR
SO-00323,OPP-00457,C0038,2025-10-26,34686.52,EUR
SO-00324,OPP-00458,C0100,2025-05-21,36778.29,EUR
SO-00325,OPP-00459,C0063,2025-09-22,51504.25,EUR
SO-00326,OPP-00460,C0085,2025-11-10,19088.56,EUR
SO-00327,OPP-00461,C0089,2025-03-27,19048.52,EUR
SO-00328,OPP-00463,C0019,2025-04-29,26254.19,EUR
SO-00329,OPP-00464,C0083,2025-01-20,22263.91,USD
SO-00330,OPP-00465,C0040,2025-10-27,5072.7,EUR
SO-00331,OPP-00466,C0105,2025-07-07,49906.71,EUR
SO-00332,opp_00467 ,C0029,2025-07-06,19070.95,EUR
SO-00333,opp_00471 ,C0031,2025-05-27,42449.84,EUR
SO-00334,OPP-00473,C0030,2025-11-29,74348.69,EUR
SO-00335,OPP-00474,C0117,2025-12-31,75816.36,USD
SO-00336,OPP-00475,C0064,2025-11-30,12450.76,EUR
SO-00337,OPP-00476,C0092,2025-02-26,4878.17,EUR
SO-00338,OPP-00477,C0084,2025-04-30,22212.43,USD
SO-00339,OPP-00478,C0071,2025-12-23,17503.23,EUR
SO-00340,OPP-00479,C0080,2025-09-23,6818.59,EUR
SO-00341,OPP-00480,C0025,2025-05-23,11945.53,EUR
SO-00342,OPP-00481,C0049,2025-11-07,19687.74,EUR
SO-00343,OPP-00482,C0035,2025-10-31,14674.14,EUR
SO-00344,OPP-00483,C0013,2025-04-30,18490.26,EUR
SO-00345,,C0105,2025-03-16,9808.99,USD
SO-00346,OPP-00485,C0072,2025-04-11,41413.61,EUR
SO-00347,OPP-00486,C0087,2025-04-19,19830.75,EUR
SO-00348,OPP-00487,C0024,2025-12-31,26587.97,EUR
SO-00349,opp_00488 ,C0013,2025-01-30,28903.87,EUR
SO-00350,OPP-00489,C0069,2025-02-28,32646.41,EUR
SO-00351,OPP-00491,C0063,2025-09-28,166464.68,EUR
SO-00352,OPP-00494,C0113,2025-11-18,17619.84,EUR
SO-00353,OPP-00495,C0012,2025-04-30,24143.55,EUR
SO-00354,OPP-00496,C0066,2025-05-26,67897.4,EUR
SO-00355,OPP-00499,C0076,2025-07-31,22113.69,USD
SO-00356,OPP-00501,C0097,2025-07-14,70573.88,USD
SO-00357,OPP-00502,C0017,2025-07-31,16461.23,GBP
SO-00358,OPP-00503,C0113,2025-04-19,24699.57,EUR
SO-00359,OPP-00504,C0040,2025-04-30,32023.96,EUR
SO-00360,OPP_00505,C0004,2025-10-22,51205.21,EUR
SO-00361,OPP-00506,C0082,2025-08-15,75572.35,EUR
SO-00362,OPP-00507,C0046,2025-01-29,73511.4,EUR
SO-00363,,C0020,2025-08-31,23163.71,GBP
SO-00364,OPP-00509,C0043,2025-01-11,20743.9,EUR
SO-00365,OPP-00510,C0025,2025-02-13,31929.24,EUR
SO-00366,OPP-00511,C0094,2025-08-27,14680.27,GBP
SO-00367,OPP-00513,C0115,2025-07-16,26058.76,EUR
SO-00368,OPP-00514,C0018,2025-10-15,38171.78,EUR
SO-00369,,C0011,2025-04-13,73460.59,EUR
SO-00370,OPP-00519,C0086,2025-07-10,132070.91,GBP
SO-00371,,C0076,2025-03-21,65278.19,USD
SO-00372,opp-00523,C0035,2025-11-30,72194.09,EUR
SO-00373,OPP-00526,C0055,2025-05-22,55648.09,USD
SO-00374,OPP-00527,C0101,2025-11-22,61406.33,USD
SO-00375,OPP-00529,C0047,2025-06-23,20443.94,EUR
SO-00376,opp-00530,C0038,2025-07-17,15679.96,EUR
SO-00377,OPP-00532,C0011,2025-07-30,70531.32,EUR
SO-00378,OPP-00535,C0097,2025-10-30,38807.44,USD
SO-00379,,C0064,2025-12-24,23719.24,EUR
SO-00380, OPP-00541 ,C0031,2025-05-17,9895.44,EUR
SO-00381,OPP-00542,C0017,2025-07-28,26530.99,GBP
SO-00382,OPP-00543,C0067,2025-07-10,37783.92,USD
SO-00383,opp-00545,C0037,2025-11-25,54011.07,EUR
SO-00384,OPP-00546,C0025,2025-10-16,22746.36,EUR
SO-00385,OPP-00549,C0084,2025-06-26,14714.85,USD
SO-00386,OPP-00550,C0038,2025-08-30,26538.61,EUR
SO-00387,OPP-00551,C0101,2025-04-25,25966.44,USD
SO-00388,OPP-00552,C0091,2025-08-26,28205.97,EUR
SO-00389,OPP-00553,C0017,2025-10-12,30424.1,GBP
SO-00390,OPP-00554,C0026,2025-03-26,20754.18,GBP
SO-00391,OPP-00557,C0070,2025-07-22,9547.7,EUR
SO-00392,OPP-00557,C0070,2025-07-22,13272.34,EUR
SO-00393,OPP-00558,C0060,2025-08-20,7758.49,EUR
SO-00394,OPP-00559,C0088,2025-11-10,23938.83,EUR
SO-00395,OPP-00560,C0084,2025-06-23,8661.56,USD
SO-00396,OPP-00561,C0072,2025-02-27,29020.93,EUR
SO-00397,OPP-00564,C0089,2025-07-21,47246.88,EUR
SO-00398, OPP-00565 ,C0078,2025-07-19,39701.27,GBP
SO-00399,OPP-00566,C0066,2025-06-24,38206.46,EUR
SO-00400,opp_00568 ,C0046,2025-04-26,75789.37,EUR
SO-00401,OPP-00569,C0056,2025-08-25,18015.8,EUR
SO-00402,OPP-00570,C0083,2025-07-18,22432.59,USD
SO-00403,OPP-00572,C0112,2025-01-04,10267.82,EUR
SO-00404,OPP-00573,C0033,2025-04-18,27039.25,USD
SO-00405,OPP-00574,C0012,2025-04-18,48543.81,EUR
SO-00406,OPP-00578,C0049,2025-03-23,24952.43,EUR
SO-00407,OPP-00582,C0018,2025-02-17,24134.77,EUR
SO-00408,OPP-00583,C0103,2025-04-29,81045.31,EUR
SO-00409,OPP-00584,C0020,2025-08-14,8912.98,GBP
SO-00410,OPP-00585,C0071,2025-07-28,38449.35,EUR
SO-00411,OPP-00586,C0106,2025-10-30,16743.11,EUR
SO-00412,,C0030,2025-02-28,10662.23,EUR
SO-00413,opp-00588,C0119,2025-03-27,50294.91,EUR
SO-00414,OPP-00591,C0063,2025-07-29,16911.99,EUR
SO-00415,OPP-00592,C0013,2025-02-25,14706.43,EUR
SO-00416,OPP-00593,C0035,2025-12-12,15855.37,EUR
SO-00417,OPP-00594,C0016,2025-05-27,39368.21,GBP
SO-00418,OPP-00596,C0090,2025-02-07,13176.21,GBP
SO-00419,,C0116,2025-07-22,17135.04,EUR
SO-00420,OPP-00598,C0017,2025-04-29,9876.48,GBP
SO-00421,OPP-00599,C0103,2025-12-29,15856.68,EUR
SO-00422,OPP-00600,C0034,2025-09-26,15906.65,USD
SO-00423,,C0040,2025-01-24,2499.78,EUR
SO-00424,,C0091,2025-04-27,3416.25,EUR
SO-00425,,C0054,2025-09-16,4608.31,EUR
SO-00426,,C0034,2025-10-30,1477.63,USD
SO-00427,,C0070,2025-04-14,2448.25,EUR
SO-00428,,C0029,2025-05-24,831.39,EUR
