issue_type,opp_id,order_id
ref_format,OPP-00233,SO-00171
dwh_duplicate,OPP-00235,SO-00172
ref_format,OPP-00239,SO-00175
ref_missing,OPP-00241,SO-00177
ref_missing,OPP-00243,SO-00179
dwh_missing,OPP-00247,SO-00183
dwh_missing,OPP-00250,SO-00185
dwh_missing,OPP-00255,SO-00187
dwh_duplicate,OPP-00261,SO-00189
split_order,OPP-00262,SO-00190
ref_format,OPP-00268,SO-00193
amount_mismatch,OPP-00269,SO-00194
dwh_duplicate,OPP-00274,SO-00197
ref_format,OPP-00275,SO-00198
ref_format,OPP-00279,SO-00202
ref_format,OPP-00286,SO-00208
missing_order,OPP-00289,
split_order,OPP-00302,SO-00217
dwh_missing,OPP-00310,SO-00223
dwh_duplicate,OPP-00312,SO-00225
period_shift,OPP-00315,SO-00226
ref_format,OPP-00316,SO-00227
dwh_duplicate,OPP-00318,SO-00229
split_order,OPP-00323,SO-00231
ref_missing,OPP-00332,SO-00237
dwh_duplicate,OPP-00333,SO-00238
missing_order,OPP-00342,
amount_mismatch,OPP-00343,SO-00245
ref_format,OPP-00351,SO-00248
dwh_missing,OPP-00352,SO-00249
ref_format,OPP-00354,SO-00251
ref_format,OPP-00366,SO-00259
ref_missing,OPP-00371,SO-00264
missing_order,OPP-00377,
ref_format,OPP-00385,SO-00272
ref_missing,OPP-00386,SO-00273
amount_mismatch,OPP-00388,SO-00274
amount_mismatch,OPP-00390,SO-00276
ref_missing,OPP-00391,SO-00277
dwh_missing,OPP-00393,SO-00279
ref_format,OPP-00394,SO-00280
split_order,OPP-00396,SO-00281
amount_mismatch,OPP-00403,SO-00286
period_shift,OPP-00404,SO-00287
ref_missing,OPP-00407,SO-00288
split_order,OPP-00408,SO-00289
missing_order,OPP-00409,
dwh_duplicate,OPP-00413,SO-00294
ref_format,OPP-00414,SO-00295
missing_order,OPP-00417,
dwh_missing,OPP-00428,SO-00303
dwh_missing,OPP-00431,SO-00306
dwh_missing,OPP-00434,SO-00309
ref_format,OPP-00438,SO-00312
amount_mismatch,OPP-00445,SO-00314
amount_mismatch,OPP-00463,SO-00328
currency_invoiced,OPP-00466,SO-00331
ref_format,OPP-00467,SO-00332
ref_format,OPP-00471,SO-00333
amount_mismatch,OPP-00473,SO-00334
period_shift,OPP-00481,SO-00342
ref_missing,OPP-00484,SO-00345
ref_format,OPP-00488,SO-00349
dwh_missing,OPP-00499,SO-00355
dwh_missing,OPP-00503,SO-00358
ref_format,OPP-00505,SO-00360
amount_mismatch,OPP-00506,SO-00361
ref_missing,OPP-00508,SO-00363
ref_missing,OPP-00516,SO-00369
ref_missing,OPP-00521,SO-00371
ref_format,OPP-00523,SO-00372
ref_format,OPP-00530,SO-00376
amount_mismatch,OPP-00532,SO-00377
amount_mismatch,OPP-00535,SO-00378
ref_missing,OPP-00540,SO-00379
ref_format,OPP-00541,SO-00380
ref_format,OPP-00545,SO-00383
amount_mismatch,OPP-00550,SO-00386
dwh_missing,OPP-00554,SO-00390
split_order,OPP-00557,SO-00391
amount_mismatch,OPP-00561,SO-00396
amount_mismatch,OPP-00564,SO-00397
ref_format,OPP-00565,SO-00398
ref_format,OPP-00568,SO-00400
missing_order,OPP-00571,
dwh_duplicate,OPP-00578,SO-00406
amount_mismatch,OPP-00584,SO-00409
ref_missing,OPP-00587,SO-00412
ref_format,OPP-00588,SO-00413
dwh_missing,OPP-00591,SO-00414
amount_mismatch,OPP-00593,SO-00416
ref_missing,OPP-00597,SO-00419
amount_mismatch,OPP-00598,SO-00420
no_crm_opportunity,,SO-00423
no_crm_opportunity,,SO-00424
no_crm_opportunity,,SO-00425
no_crm_opportunity,,SO-00426
no_crm_opportunity,,SO-00427
no_crm_opportunity,,SO-00428
no_crm_opportunity,,SO-00429
no_crm_opportunity,,SO-00430
no_crm_opportunity,,SO-00431
no_crm_opportunity,,SO-00432
no_crm_opportunity,,SO-00433
no_crm_opportunity,,SO-00434
