booking_id,source_order_id,booking_month,amount_eur
BK-000093,SO-00171,2025-11,19672.75
BK-000094,SO-00221,2025-12,25888.28
BK-000095,SO-00421,2025-12,15856.68
BK-000096,SO-00300,2025-01,126066.86
BK-000097,SO-00341,2025-05,11945.53
BK-000098,SO-00327,2025-03,19048.52
BK-000099,SO-00007,2025-12,126466.08
BK-000100,SO-00048,2025-07,21675.3
BK-000101,SO-00301,2025-07,30992.65
BK-000102,SO-00338,2025-04,20242.19
BK-000103,SO-00375,2025-06,20443.94
BK-000104,SO-00270,2025-03,13377.77
BK-000105,SO-00018,2025-07,21376.18
BK-000106,SO-00403,2025-01,10267.82
BK-000107,SO-00135,2025-08,70794.56
BK-000108,SO-00310,2025-11,50985.53
BK-000109,SO-00004,2025-12,30442.7
BK-000110,SO-00020,2025-12,36581.4
BK-000111,SO-00334,2025-11,74348.69
BK-000112,SO-00063,2025-09,63800.22
BK-000113,SO-00371,2025-03,59396.63
BK-000114,SO-00251,2025-03,26892.58
BK-000115,SO-00067,2025-10,15183.0
BK-000116,SO-00114,2025-11,35340.48
BK-000117,SO-00433,2025-03,1980.35
BK-000118,SO-00202,2025-05,30542.87
BK-000119,SO-00030,2025-04,36597.88
BK-000120,SO-00325,2025-09,51504.25
BK-000121,SO-00206,2025-04,12705.74
BK-000122,SO-00212,2025-10,22795.96
BK-000123,SO-00028,2025-09,75888.38
BK-000124,SO-00009,2025-12,97327.75
BK-000125,SO-00410,2025-07,38449.35
BK-000126,SO-00257,2025-04,25175.11
BK-000127,SO-00112,2025-01,19891.79
BK-000128,SO-00104,2025-10,28886.89
BK-000129,SO-00347,2025-04,19830.75
BK-000130,SO-00406,2025-03,24952.43
BK-000131,SO-00123,2025-07,26169.51
BK-000132,SO-00118,2025-07,35941.74
BK-000133,SO-00141,2025-02,20475.14
BK-000134,SO-00321,2025-05,3150.62
BK-000135,SO-00287,2025-10,42703.08
BK-000136,SO-00160,2025-05,106121.42
BK-000137,SO-00387,2025-04,23663.22
BK-000138,SO-00407,2025-02,24134.77
BK-000139,SO-00389,2025-10,34872.1
BK-000140,SO-00157,2025-02,9945.88
BK-000141,SO-00182,2025-08,30601.99
BK-000142,SO-00113,2025-11,18968.76
BK-000143,SO-00413,2025-03,50294.91
BK-000144,SO-00198,2025-06,23010.87
BK-000145,SO-00359,2025-04,32023.96
BK-000146,SO-00276,2025-04,9180.84
BK-000147,SO-00087,2025-05,24115.52
BK-000148,SO-00245,2025-12,10807.71
BK-000149,SO-00213,2025-03,8173.39
BK-000150,SO-00077,2025-05,8152.2
BK-000151,SO-00207,2025-06,20034.92
BK-000152,SO-00158,2025-05,10265.34
BK-000153,SO-00124,2025-06,28799.88
BK-000154,SO-00304,2025-11,14325.6
BK-000155,SO-00406,2025-03,24952.43
BK-000156,SO-00340,2025-09,6818.59
BK-000157,SO-00405,2025-04,48543.81
BK-000158,SO-00415,2025-02,14706.43
BK-000159,SO-00429,2025-07,3191.61
BK-000160,SO-00175,2025-05,19784.66
BK-000161,SO-00386,2025-08,26538.61
BK-000162,SO-00352,2025-11,17619.84
BK-000163,SO-00037,2025-02,24544.41
BK-000164,SO-00143,2025-03,38706.48
BK-000165,SO-00317,2025-06,13558.09
BK-000166,SO-00412,2025-02,10662.23
BK-000167,SO-00229,2025-11,16549.36
BK-000168,SO-00230,2025-08,16525.36
BK-000169,SO-00062,2025-06,23618.67
BK-000170,SO-00115,2025-05,12665.39
BK-000171,SO-00267,2025-06,55146.23
BK-000172,SO-00382,2025-07,34814.1
BK-000173,SO-00008,2025-02,7860.38
BK-000174,SO-00416,2025-12,15855.37
BK-000175,SO-00296,2025-11,46596.56
BK-000176,SO-00161,2025-11,10659.65
BK-000177,SO-00154,2025-03,20483.07
BK-000178,SO-00012,2025-01,29995.44
BK-000179,SO-00225,2025-02,61258.3
BK-000180,SO-00106,2025-01,27495.01
BK-000181,SO-00085,2025-12,21937.32
BK-000182,SO-00238,2025-05,13241.63
BK-000183,SO-00319,2025-05,53574.8
BK-000184,SO-00170,2025-01,83957.07
BK-000185,SO-00408,2025-04,81045.31
BK-000186,SO-00240,2025-02,59227.92
BK-000187,SO-00248,2025-03,32587.68
BK-000188,SO-00197,2025-08,77769.77
BK-000189,SO-00362,2025-01,73511.4
BK-000190,SO-00092,2025-07,33790.02
BK-000191,SO-00290,2025-12,6228.5
BK-000192,SO-00166,2025-10,11744.15
BK-000193,SO-00214,2025-01,16001.65
BK-000194,SO-00151,2025-03,17101.86
BK-000195,SO-00003,2025-04,62523.36
BK-000196,SO-00095,2025-12,31006.68
BK-000197,SO-00072,2025-11,20258.13
BK-000198,SO-00231,2025-11,16807.76
BK-000199,SO-00128,2025-02,29284.82
BK-000200,SO-00099,2025-04,28488.86
BK-000201,SO-00147,2025-10,62353.02
BK-000202,SO-00329,2025-01,20558.49
BK-000203,SO-00247,2025-09,10480.15
BK-000204,SO-00100,2025-07,66246.09
BK-000205,SO-00264,2025-03,35789.22
BK-000206,SO-00071,2025-09,17671.95
BK-000207,SO-00025,2025-09,28294.52
BK-000208,SO-00038,2025-10,11966.06
BK-000209,SO-00148,2025-10,89604.11
BK-000210,SO-00127,2025-08,94472.03
BK-000211,SO-00233,2025-12,22105.45
BK-000212,SO-00205,2025-03,30805.15
BK-000213,SO-00186,2025-11,20651.34
BK-000214,SO-00070,2025-03,27514.69
BK-000215,SO-00345,2025-03,8925.2
BK-000216,SO-00364,2025-01,20743.9
BK-000217,SO-00250,2025-03,19781.07
BK-000218,SO-00255,2025-05,75719.82
BK-000219,SO-00376,2025-07,15679.96
BK-000220,SO-00308,2025-11,36020.04
BK-000221,SO-00129,2025-05,20128.03
BK-000222,SO-00150,2025-03,13500.75
BK-000223,SO-00332,2025-07,19070.95
BK-000224,SO-00089,2025-09,23591.23
BK-000225,SO-00368,2025-10,38171.78
BK-000226,SO-00222,2025-02,21619.5
BK-000227,SO-00288,2025-06,32012.91
BK-000228,SO-00367,2025-07,26058.76
BK-000229,SO-00246,2025-01,11479.26
BK-000230,SO-00281,2025-06,4074.3
BK-000231,SO-00328,2025-04,26254.19
BK-000232,SO-00188,2025-06,7891.42
BK-000233,SO-00236,2025-07,21571.29
BK-000234,SO-00354,2025-05,67897.4
BK-000235,SO-00411,2025-10,16743.11
BK-000236,SO-00305,2025-06,77131.33
BK-000237,SO-00133,2025-01,61780.56
BK-000238,SO-00041,2025-09,105420.12
BK-000239,SO-00013,2025-11,116450.06
BK-000240,SO-00292,2025-05,27988.46
BK-000241,SO-00189,2025-02,14170.58
BK-000242,SO-00293,2025-12,14177.52
BK-000243,SO-00274,2025-11,21990.63
BK-000244,SO-00116,2025-03,53700.82
BK-000245,SO-00181,2025-06,18169.0
BK-000246,SO-00263,2025-02,19540.28
BK-000247,SO-00315,2025-09,14094.84
BK-000248,SO-00326,2025-11,19088.56
BK-000249,SO-00343,2025-10,14674.14
BK-000250,SO-00122,2025-01,129319.87
BK-000251,SO-00402,2025-07,20669.39
BK-000252,SO-00298,2025-05,35428.89
BK-000253,SO-00419,2025-07,17135.04
BK-000254,SO-00312,2025-03,16779.36
BK-000255,SO-00235,2025-11,49569.93
BK-000256,SO-00396,2025-02,29020.93
BK-000257,SO-00422,2025-09,14804.32
BK-000258,SO-00167,2025-12,15447.96
BK-000259,SO-00140,2025-03,39895.36
BK-000260,SO-00200,2025-12,14799.79
BK-000261,SO-00260,2025-07,43259.27
BK-000262,SO-00234,2025-08,19868.3
BK-000263,SO-00120,2025-02,25298.14
BK-000264,SO-00125,2025-12,52351.24
BK-000265,SO-00227,2025-11,38259.0
BK-000266,SO-00378,2025-10,36498.4
BK-000267,SO-00289,2025-12,6290.13
BK-000268,SO-00131,2025-02,7869.02
BK-000269,SO-00360,2025-10,51205.21
BK-000270,SO-00111,2025-02,25024.38
BK-000271,SO-00322,2025-03,63874.35
BK-000272,SO-00137,2025-05,12703.42
BK-000273,SO-00316,2025-09,8888.23
BK-000274,SO-00047,2025-01,39585.45
BK-000275,SO-00401,2025-08,18015.8
BK-000276,SO-00068,2025-10,17229.34
BK-000277,SO-00089,2025-09,23591.23
BK-000278,SO-00243,2025-06,26777.68
BK-000279,SO-00190,2025-08,3132.26
BK-000280,SO-00162,2025-08,15550.03
BK-000281,SO-00014,2025-01,32299.61
BK-000282,SO-00036,2025-02,28695.3
BK-000283,SO-00030,2025-04,36597.88
BK-000284,SO-00172,2025-08,20692.75
BK-000285,SO-00146,2025-03,14386.63
BK-000286,SO-00346,2025-04,41413.61
BK-000287,SO-00294,2025-04,55032.82
BK-000288,SO-00225,2025-02,61258.3
BK-000289,SO-00098,2025-07,15958.25
BK-000290,SO-00055,2025-04,19653.39
BK-000291,SO-00241,2025-10,27619.19
BK-000292,SO-00392,2025-07,13272.34
BK-000293,SO-00330,2025-10,5072.7
BK-000294,SO-00180,2025-04,23340.39
BK-000295,SO-00044,2025-07,20549.28
BK-000296,SO-00337,2025-02,4878.17
BK-000297,SO-00209,2025-04,50358.55
BK-000298,SO-00285,2025-11,67223.13
BK-000299,SO-00256,2025-06,9431.77
BK-000300,SO-00361,2025-08,75572.35
BK-000301,SO-00006,2025-10,33554.41
BK-000302,SO-00258,2025-01,55860.92
BK-000303,SO-00391,2025-07,9547.7
BK-000304,SO-00103,2025-01,97359.99
BK-000305,SO-00229,2025-11,16549.36
BK-000306,SO-00372,2025-11,72194.09
BK-000307,SO-00216,2025-06,34168.38
BK-000308,SO-00173,2025-08,83620.94
BK-000309,SO-00101,2025-01,32113.1
BK-000310,SO-00294,2025-04,55032.82
BK-000311,SO-00218,2025-11,32526.48
BK-000312,SO-00065,2025-12,8465.62
BK-000313,SO-00051,2025-09,25329.62
BK-000314,SO-00033,2025-11,23724.7
BK-000315,SO-00269,2025-12,13199.62
BK-000316,SO-00203,2025-04,20466.11
BK-000317,SO-00388,2025-08,28205.97
BK-000318,SO-00029,2025-08,67284.52
BK-000319,SO-00339,2025-12,17503.23
BK-000320,SO-00232,2025-11,8464.83
BK-000321,SO-00262,2025-07,95438.77
BK-000322,SO-00291,2025-01,23454.02
BK-000323,SO-00165,2025-02,14319.42
BK-000324,SO-00395,2025-06,7974.7
BK-000325,SO-00142,2025-02,17557.11
BK-000326,SO-00066,2025-10,16678.76
BK-000327,SO-00139,2025-06,8407.18
BK-000328,SO-00132,2025-11,21252.24
BK-000329,SO-00010,2025-05,90227.39
BK-000330,SO-00331,2025-07,49906.71
BK-000331,SO-00068,2025-10,17229.34
BK-000332,SO-00302,2025-09,51823.48
BK-000333,SO-00016,2025-12,5080.36
BK-000334,SO-00159,2025-11,89614.59
BK-000335,SO-00043,2025-04,104408.02
BK-000336,SO-00400,2025-04,75789.37
BK-000337,SO-00351,2025-09,166464.68
BK-000338,SO-00219,2025-03,19025.0
BK-000339,SO-00282,2025-06,5988.95
BK-000340,SO-00377,2025-07,70531.32
BK-000341,SO-00342,2025-11,19687.74
BK-000342,SO-00238,2025-05,13241.63
BK-000343,SO-00210,2025-09,5618.92
BK-000344,SO-00215,2025-02,13930.63
BK-000345,SO-00297,2025-12,32198.05
BK-000346,SO-00398,2025-07,46192.43
BK-000347,SO-00253,2025-09,46095.26
BK-000348,SO-00425,2025-09,4608.31
BK-000349,SO-00399,2025-06,38206.46
BK-000350,SO-00307,2025-04,21812.6
BK-000351,SO-00271,2025-08,11023.31
BK-000352,SO-00204,2025-04,39109.01
BK-000353,SO-00164,2025-02,68014.01
BK-000354,SO-00046,2025-09,17876.65
BK-000355,SO-00220,2025-09,13500.79
BK-000356,SO-00194,2025-08,28789.53
BK-000357,SO-00314,2025-09,109565.9
BK-000358,SO-00261,2025-10,17477.42
BK-000359,SO-00109,2025-06,17864.81
BK-000360,SO-00057,2025-11,28106.94
BK-000361,SO-00002,2025-07,14549.23
BK-000362,SO-00420,2025-04,11396.47
BK-000363,SO-00053,2025-07,21849.56
BK-000364,SO-00084,2025-11,25851.7
BK-000365,SO-00208,2025-05,5607.51
BK-000366,SO-00035,2025-11,22039.27
BK-000367,SO-00265,2025-11,13838.12
BK-000368,SO-00373,2025-05,50700.97
BK-000369,SO-00094,2025-08,80905.6
BK-000370,SO-00344,2025-04,18490.26
BK-000371,SO-00056,2025-03,60082.2
BK-000372,SO-00350,2025-02,32646.41
BK-000373,SO-00266,2025-07,36942.32
BK-000374,SO-00242,2025-08,18740.5
BK-000375,SO-00015,2025-05,7227.78
BK-000376,SO-00320,2025-10,36006.61
BK-000377,SO-00091,2025-12,93865.47
BK-000378,SO-00275,2025-04,46984.87
BK-000379,SO-00169,2025-12,14345.89
BK-000380,SO-00333,2025-05,42449.84
BK-000381,SO-00428,2025-05,831.39
BK-000382,SO-00138,2025-06,73475.71
BK-000383,SO-00311,2025-08,7336.24
BK-000384,SO-00418,2025-02,15402.99
BK-000385,SO-00324,2025-05,36778.29
BK-000386,SO-00244,2025-04,17443.76
BK-000387,SO-00058,2025-09,44125.57
BK-000388,SO-00370,2025-07,153664.5
BK-000389,SO-00054,2025-04,34036.46
BK-000390,SO-00176,2025-03,8929.06
BK-000391,SO-00193,2025-03,27436.12
BK-000392,SO-00432,2025-05,3032.06
BK-000393,SO-00191,2025-08,3594.94
BK-000394,SO-00172,2025-08,20692.75
BK-000395,SO-00061,2025-03,24058.56
BK-000396,SO-00052,2025-07,28586.96
BK-000397,SO-00349,2025-01,28903.87
BK-000398,SO-00237,2025-06,23986.17
BK-000399,SO-00254,2025-01,35962.48
BK-000400,SO-00023,2025-12,18717.31
BK-000401,SO-00318,2025-06,4690.41
BK-000402,SO-00163,2025-05,50047.68
BK-000403,SO-00278,2025-05,21962.4
BK-000404,SO-00195,2025-03,31756.86
BK-000405,SO-00393,2025-08,7758.49
BK-000406,SO-00295,2025-12,37327.06
BK-000407,SO-00348,2025-12,26587.97
BK-000408,SO-00259,2025-08,72313.0
BK-000409,SO-00313,2025-01,27116.41
BK-000410,SO-00153,2025-08,9105.64
BK-000411,SO-00134,2025-09,28892.81
BK-000412,SO-00155,2025-07,94960.79
BK-000413,SO-00366,2025-08,16963.05
BK-000414,SO-00102,2025-02,4142.34
BK-000415,SO-00379,2025-12,23719.24
BK-000416,SO-00090,2025-02,13168.25
BK-000417,SO-00335,2025-12,72192.34
BK-000418,SO-00217,2025-11,22752.42
BK-000419,SO-00126,2025-12,41872.6
BK-000420,SO-00434,2025-09,2923.44
BK-000421,SO-00022,2025-02,96225.75
BK-000422,SO-00192,2025-05,21853.56
BK-000423,SO-00074,2025-10,22908.29
BK-000424,SO-00110,2025-02,28116.21
BK-000425,SO-00272,2025-09,109171.37
BK-000426,SO-00353,2025-04,24143.55
BK-000427,SO-00105,2025-07,16398.0
