opp_id,account_id,region,stage,close_date,amount,currency
OPP-00029,C0063,South,Closed Won,2025-12-30,18717.31,EUR
OPP-00030,C0054,North,Closed Lost,2025-10-29,27527.68,EUR
OPP-00031,C0114,Central,Closed Won,2025-01-03,33470.06,USD
OPP-00032,C0069,North,Closed Won,2025-09-16,28294.52,EUR
OPP-00033,C0029,South,Open,2025-08-27,8891.79,EUR
OPP-00034,C0015,South,Closed Won,2025-06-20,48659.81,EUR
OPP-00035,C0088,South,Closed Lost,2025-05-26,32507.96,EUR
OPP-00036,C0092,South,Closed Won,2025-07-10,24178.87,EUR
OPP-00037,C0113,Export,Closed Won,2025-09-12,75888.38,EUR
OPP-00038,C0113,Export,Closed Lost,2025-08-15,27119.23,EUR
OPP-00039,C0079,North,Closed Lost,2025-12-27,39651.4,EUR
OPP-00040,C0115,South,Closed Lost,2025-11-20,6617.91,EUR
OPP-00041,C0058,Export,Closed Won,2025-08-17,67284.52,EUR
OPP-00042,C0052,North,Closed Won,2025-04-10,36597.88,EUR
OPP-00043,C0089,Central,Closed Won,2025-10-13,27946.51,EUR
OPP-00044,C0094,North,Closed Won,2025-11-20,16921.45,GBP
OPP-00045,C0082,Central,Closed Won,2025-11-08,23724.7,EUR
OPP-00046,C0024,North,Open,2025-04-20,22335.06,EUR
OPP-00047,C0001,Central,Closed Won,2025-01-26,10855.96,EUR
OPP-00048,C0035,North,Closed Won,2025-11-21,22039.27,EUR
OPP-00049,C0084,Central,Closed Lost,2025-06-02,15699.46,USD
OPP-00050,C0014,Central,Closed Won,2025-02-16,28695.3,EUR
OPP-00051,C0054,North,Closed Lost,2025-02-02,20939.41,EUR
OPP-00052,C0024,North,Closed Lost,2025-07-31,10223.79,EUR
OPP-00053,C0062,Central,Closed Won,2025-01-31,24544.41,EUR
OPP-00054,C0021,North,Closed Won,2025-10-06,12723.08,USD
OPP-00055,C0095,South,Closed Won,2025-11-18,34660.13,USD
OPP-00056,C0037,Central,Closed Won,2025-07-22,21331.89,EUR
OPP-00057,C0018,South,Closed Won,2025-09-13,105420.12,EUR
OPP-00058,C0017,South,Closed Won,2025-02-09,14883.93,GBP
OPP-00059,C0049,North,Closed Won,2025-08-05,8842.3,EUR
OPP-00060,C0073,South,Closed Won,2025-04-09,104408.02,EUR
OPP-00061,C0012,Central,Closed Won,2025-07-19,22047.3,EUR
OPP-00062,C0030,North,Closed Won,2025-10-07,27022.83,EUR
OPP-00063,C0116,South,Closed Lost,2025-07-18,40398.34,EUR
OPP-00064,C0107,South,Closed Won,2025-09-16,15589.65,GBP
OPP-00065,C0101,Export,Closed Won,2025-01-04,42869.23,USD
OPP-00066,C0007,South,Closed Won,2025-07-11,21675.3,EUR
OPP-00067,C0090,North,Closed Won,2025-06-25,9447.05,GBP
OPP-00068,C0019,Export,Closed Won,2025-09-04,3377.29,EUR
OPP-00069,C0120,North,Closed Lost,2025-06-10,37255.55,EUR
OPP-00070,C0018,South,Closed Won,2025-09-28,25329.62,EUR
OPP-00071,C0091,South,Closed Won,2025-07-23,50436.52,EUR
OPP-00072,C0025,South,Open,2025-11-20,71874.37,EUR
OPP-00073,C0017,South,Closed Won,2025-04-03,29496.89,GBP
OPP-00074,C0057,Export,Closed Won,2025-04-06,19653.39,EUR
OPP-00075,C0028,South,Closed Won,2025-03-16,60082.2,EUR
OPP-00076,C0011,Central,Closed Won,2025-11-26,31996.0,EUR
OPP-00077,C0081,Central,Closed Won,2025-09-11,44125.57,EUR
OPP-00078,C0102,North,Closed Won,2025-07-24,111809.44,EUR
OPP-00079,C0110,Central,Closed Won,2025-02-24,11258.4,USD
OPP-00080,C0064,Export,Closed Won,2025-01-13,33996.29,EUR
OPP-00081,C0047,Export,Closed Won,2025-03-10,24058.56,EUR
OPP-00082,C0083,Central,Closed Won,2025-06-05,25652.95,USD
OPP-00083,C0021,North,Closed Won,2025-09-22,68550.79,USD
OPP-00084,C0119,South,Open,2025-10-16,11974.76,EUR
OPP-00085,C0087,Export,Closed Lost,2025-06-27,44359.29,EUR
OPP-00086,C0061,South,Closed Won,2025-09-20,31723.53,EUR
OPP-00087,C0013,Export,Closed Won,2025-12-26,8465.62,EUR
OPP-00088,C0061,South,Closed Won,2025-10-28,31861.76,EUR
OPP-00089,C0009,Central,Closed Won,2025-10-07,17229.34,EUR
OPP-00090,C0054,North,Closed Won,2025-10-02,39207.53,EUR
OPP-00091,C0112,Export,Closed Lost,2025-09-20,15296.52,EUR
OPP-00092,C0093,Export,Closed Lost,2025-05-25,31861.42,EUR
OPP-00093,C0109,North,Closed Won,2025-03-08,27514.69,EUR
OPP-00094,C0032,Central,Closed Won,2025-09-23,20168.01,USD
OPP-00095,C0050,Central,Closed Won,2025-11-24,20258.13,EUR
OPP-00096,C0054,North,Closed Won,2025-05-18,12340.33,EUR
OPP-00097,C0082,Central,Closed Lost,2025-05-14,113196.38,EUR
OPP-00098,C0097,Export,Closed Won,2025-10-13,24357.56,USD
OPP-00099,C0120,North,Closed Lost,2025-09-18,30184.19,EUR
OPP-00100,C0060,Central,Closed Won,2025-11-11,86467.28,EUR
OPP-00101,C0043,South,Closed Won,2025-03-10,30460.23,EUR
OPP-00102,C0054,North,Open,2025-06-29,14304.13,EUR
OPP-00103,C0091,South,Closed Won,2025-05-28,8152.2,EUR
OPP-00104,C0110,Central,Closed Won,2025-12-24,46601.63,USD
OPP-00105,C0036,Export,Closed Won,2025-03-05,142603.25,EUR
OPP-00106,C0096,South,Closed Lost,2025-08-14,41670.95,USD
OPP-00107,C0114,Central,Closed Won,2025-12-08,18947.14,USD
OPP-00108,C0023,Export,Closed Won,2025-04-04,19512.52,EUR
OPP-00109,C0062,Central,Closed Won,2025-02-02,5562.24,EUR
OPP-00110,C0005,South,Closed Won,2025-07-03,14177.21,EUR
OPP-00111,C0038,Central,Closed Won,2025-11-04,25851.7,EUR
OPP-00112,C0084,Central,Closed Won,2025-12-10,23038.56,USD
OPP-00113,C0001,Central,Closed Won,2025-05-27,26676.57,EUR
OPP-00114,C0059,Export,Closed Won,2025-05-14,21043.21,GBP
OPP-00115,C0032,Central,Closed Won,2025-08-08,9436.62,USD
OPP-00116,C0028,South,Open,2025-06-02,12287.34,EUR
OPP-00117,C0104,South,Closed Won,2025-09-19,23591.23,EUR
OPP-00118,C0011,Central,Closed Won,2025-01-26,8656.71,EUR
OPP-00119,C0004,North,Closed Won,2025-02-16,13168.25,EUR
OPP-00120,C0001,Central,Closed Lost,2025-07-20,38615.47,EUR
OPP-00121,C0108,Central,Closed Lost,2025-10-10,21818.53,EUR
OPP-00122,C0031,Central,Closed Won,2025-12-19,93865.47,EUR
OPP-00123,C0098,Export,Closed Won,2025-07-25,36672.48,USD
OPP-00124,C0050,Central,Closed Won,2025-10-03,34151.23,EUR
OPP-00125,C0003,Export,Closed Won,2025-08-23,87314.48,USD
OPP-00126,C0015,South,Closed Won,2025-11-30,31006.68,EUR
OPP-00127,C0021,North,Closed Won,2025-02-28,25956.1,USD
OPP-00128,C0067,Central,Closed Won,2025-12-13,32021.12,USD
OPP-00129,C0050,Central,Closed Won,2025-07-06,15958.25,EUR
OPP-00130,C0016,Export,Closed Won,2025-04-30,24689.19,GBP
OPP-00131,C0101,Export,Closed Won,2025-11-27,27646.08,USD
OPP-00132,C0023,Export,Closed Won,2025-07-24,66246.09,EUR
OPP-00133,C0033,Export,Open,2025-10-05,31321.56,USD
OPP-00134,C0051,Central,Closed Won,2025-01-25,32113.1,EUR
OPP-00135,C0012,Central,Closed Lost,2025-08-13,31916.33,EUR
OPP-00136,C0057,Export,Open,2025-02-08,73603.21,EUR
OPP-00137,C0022,South,Closed Lost,2025-12-29,11926.81,USD
OPP-00138,C0042,Export,Closed Lost,2025-06-20,27491.77,EUR
OPP-00139,C0106,South,Closed Won,2025-02-21,4142.34,EUR
OPP-00140,C0054,North,Open,2025-02-20,14385.24,EUR
OPP-00141,C0104,South,Closed Won,2025-01-07,97359.99,EUR
OPP-00142,C0118,Export,Closed Won,2025-10-23,25202.31,GBP
OPP-00143,C0039,North,Closed Won,2025-07-19,16398.0,EUR
OPP-00144,C0113,Export,Closed Won,2025-01-07,27495.01,EUR
OPP-00145,C0016,Export,Closed Won,2025-04-21,6933.52,GBP
OPP-00146,C0030,North,Closed Won,2025-06-23,28532.15,EUR
OPP-00147,C0025,South,Closed Won,2025-06-16,17864.81,EUR
OPP-00148,C0006,South,Closed Won,2025-02-27,28116.21,EUR
OPP-00149,C0014,Central,Closed Won,2025-02-09,25024.38,EUR
OPP-00150,C0109,North,Open,2025-08-31,11844.51,EUR
OPP-00151,C0071,North,Closed Won,2025-01-30,19891.79,EUR
OPP-00152,C0098,Export,Closed Won,2025-11-13,20213.94,USD
OPP-00153,C0055,Export,Closed Lost,2025-02-11,14711.39,USD
OPP-00154,C0071,North,Closed Won,2025-11-12,35340.48,EUR
OPP-00155,C0006,South,Open,2025-03-13,22975.83,EUR
OPP-00156,C0015,South,Closed Won,2025-05-09,12665.39,EUR
OPP-00157,C0050,Central,Closed Won,2025-03-08,53700.82,EUR
OPP-00158,C0105,Export,Closed Won,2025-07-17,69870.59,USD
OPP-00159,C0020,South,Open,2025-01-28,18033.48,GBP
OPP-00160,C0040,South,Closed Won,2025-07-14,35941.74,EUR
OPP-00161,C0044,Export,Closed Won,2025-02-06,60822.51,EUR
OPP-00162,C0018,South,Closed Won,2025-02-27,25298.14,EUR
OPP-00163,C0046,South,Open,2025-02-01,37931.48,EUR
OPP-00164,C0039,North,Closed Won,2025-12-13,20973.42,EUR
OPP-00165,C0119,South,Closed Lost,2025-10-23,8051.19,EUR
OPP-00166,C0101,Export,Open,2025-02-20,16342.57,USD
OPP-00167,C0041,Export,Closed Won,2025-01-25,129319.87,EUR
OPP-00168,C0100,North,Open,2025-03-17,24914.14,EUR
OPP-00169,C0053,Export,Closed Won,2025-07-31,22492.06,GBP
OPP-00170,C0048,South,Closed Won,2025-06-14,24976.05,GBP
OPP-00171,C0019,Export,Closed Won,2025-12-13,58295.22,EUR
OPP-00172,C0009,Central,Open,2025-06-16,31591.3,EUR
OPP-00173,C0042,Export,Closed Won,2025-12-27,41872.6,EUR
OPP-00174,C0108,Central,Closed Lost,2025-04-30,21767.34,EUR
OPP-00175,C0091,South,Closed Won,2025-08-12,94472.03,EUR
OPP-00176,C0049,North,Closed Won,2025-02-21,29284.82,EUR
OPP-00177,C0051,Central,Closed Won,2025-05-11,20128.03,EUR
OPP-00178,C0016,Export,Closed Won,2025-04-21,20694.25,GBP
OPP-00179,C0003,Export,Closed Won,2025-02-22,8445.87,USD
OPP-00180,C0081,Central,Closed Won,2025-11-09,21252.24,EUR
OPP-00181,C0081,Central,Open,2025-09-07,41410.69,EUR
OPP-00182,C0066,South,Open,2025-09-18,27590.92,EUR
OPP-00183,C0074,Central,Closed Won,2025-01-10,61780.56,EUR
OPP-00184,C0083,Central,Closed Won,2025-07-13,26876.97,USD
OPP-00185,C0044,Export,Open,2025-06-26,13789.27,EUR
OPP-00186,C0103,Export,Closed Won,2025-09-15,28892.81,EUR
OPP-00187,C0030,North,Open,2025-12-29,13781.22,EUR
OPP-00188,C0113,Export,Closed Lost,2025-12-31,29049.41,EUR
OPP-00189,C0092,South,Closed Won,2025-08-15,75388.51,EUR
OPP-00190,C0035,North,Closed Won,2025-05-13,74446.43,EUR
OPP-00191,C0104,South,Closed Won,2025-05-01,12703.42,EUR
OPP-00192,C0029,South,Closed Lost,2025-02-17,22913.81,EUR
OPP-00193,C0014,Central,Open,2025-04-06,31531.75,EUR
OPP-00194,C0004,North,Closed Won,2025-06-27,73475.71,EUR
OPP-00195,C0113,Export,Closed Lost,2025-02-07,29064.62,EUR
OPP-00196,C0033,Export,Closed Won,2025-06-04,9131.29,USD
OPP-00197,C0051,Central,Closed Won,2025-03-16,46931.89,EUR
OPP-00198,C0120,North,Closed Won,2025-02-03,38032.25,EUR
OPP-00199,C0039,North,Closed Won,2025-03-02,38706.48,EUR
OPP-00200,C0095,South,Closed Lost,2025-11-25,67003.19,USD
OPP-00201,C0048,South,Closed Lost,2025-04-22,12009.17,GBP
OPP-00202,C0097,Export,Closed Lost,2025-04-05,28432.61,USD
OPP-00203,C0110,Central,Closed Won,2025-02-09,13466.51,USD
OPP-00204,C0028,South,Closed Won,2025-01-27,23649.02,EUR
OPP-00205,C0042,Export,Closed Won,2025-03-03,14386.63,EUR
OPP-00206,C0055,Export,Closed Won,2025-10-14,66297.73,USD
OPP-00207,C0040,South,Closed Won,2025-10-17,89604.11,EUR
OPP-00208,C0050,Central,Closed Won,2025-03-21,43611.37,EUR
OPP-00209,C0041,Export,Closed Won,2025-03-02,30602.61,EUR
OPP-00210,C0119,South,Closed Won,2025-08-29,26928.43,EUR
OPP-00211,C0055,Export,Closed Won,2025-03-15,22511.34,USD
OPP-00212,C0001,Central,Closed Won,2025-07-12,94960.79,EUR
OPP-00213,C0064,Export,Closed Won,2025-01-12,24789.71,EUR
OPP-00214,C0032,Central,Closed Lost,2025-10-11,29852.95,USD
OPP-00215,C0068,Central,Closed Won,2025-02-15,10674.98,USD
OPP-00216,C0082,Central,Closed Won,2025-05-01,10265.34,EUR
OPP-00217,C0078,Central,Closed Won,2025-11-27,78609.29,GBP
OPP-00218,C0113,Export,Closed Won,2025-05-07,106121.42,EUR
OPP-00219,C0082,Central,Closed Won,2025-11-03,10659.65,EUR
OPP-00220,C0022,South,Closed Won,2025-08-27,16781.82,USD
OPP-00221,C0007,South,Closed Won,2025-05-09,50047.68,EUR
OPP-00222,C0107,South,Open,2025-09-03,10253.7,GBP
OPP-00223,C0007,South,Closed Won,2025-02-12,68014.01,EUR
OPP-00224,C0099,North,Closed Won,2025-02-28,14319.42,EUR
OPP-00225,C0008,North,Open,2025-04-03,39987.87,EUR
OPP-00226,C0070,North,Closed Won,2025-10-31,11744.15,EUR
OPP-00227,C0035,North,Closed Won,2025-12-25,15447.96,EUR
OPP-00228,C0079,North,Closed Won,2025-04-30,65767.86,EUR
OPP-00229,C0013,Export,Closed Won,2025-09-13,55905.1,EUR
OPP-00230,C0046,South,Open,2025-12-23,9031.12,EUR
OPP-00231,C0047,Export,Closed Won,2025-12-18,15400.61,EUR
OPP-00232,C0067,Central,Closed Won,2025-01-12,90921.67,USD
OPP-00233,C0087,Export,Closed Won,2025-11-07,19672.75,EUR
OPP-00234,C0064,Export,Open,2025-10-06,40761.3,EUR
OPP-00235,C0072,North,Closed Won,2025-08-30,20692.75,EUR
OPP-00236,C0070,North,Closed Won,2025-08-02,83620.94,EUR
OPP-00237,C0004,North,Closed Lost,2025-02-24,6569.07,EUR
OPP-00238,C0025,South,Closed Won,2025-06-18,10630.93,EUR
OPP-00239,C0119,South,Closed Won,2025-05-02,19784.66,EUR
OPP-00240,C0060,Central,Closed Won,2025-03-30,8929.06,EUR
OPP-00241,C0023,Export,Closed Won,2025-12-28,6253.64,EUR
OPP-00242,C0058,Export,Closed Won,2025-08-31,13393.26,EUR
OPP-00243,C0113,Export,Closed Won,2025-05-04,47249.59,EUR
OPP-00244,C0009,Central,Closed Won,2025-04-22,23340.39,EUR
OPP-00245,C0061,South,Closed Won,2025-06-18,18169.0,EUR
OPP-00246,C0095,South,Closed Won,2025-08-19,33026.11,USD
OPP-00247,C0054,North,Closed Won,2025-02-14,12678.51,EUR
OPP-00248,C0024,North,Closed Lost,2025-05-13,37346.22,EUR
OPP-00249,C0117,South,Closed Won,2025-12-28,23163.59,USD
OPP-00250,C0052,North,Closed Won,2025-03-17,13060.17,EUR
OPP-00251,C0005,South,Closed Lost,2025-07-10,24924.3,EUR
OPP-00252,C0047,Export,Open,2025-01-24,34435.35,EUR
OPP-00253,C0101,Export,Closed Lost,2025-12-05,20674.4,USD
OPP-00254,C0009,Central,Closed Won,2025-11-22,20651.34,EUR
OPP-00255,C0021,North,Closed Won,2025-12-25,35026.61,USD
OPP-00256,C0024,North,Closed Lost,2025-02-04,9317.71,EUR
OPP-00257,C0085,North,Open,2025-08-27,8745.64,EUR
OPP-00258,C0076,South,Closed Lost,2025-02-09,30457.36,USD
OPP-00259,C0066,South,Closed Lost,2025-03-31,63463.72,EUR
OPP-00260,C0092,South,Closed Won,2025-06-26,7891.42,EUR
OPP-00261,C0014,Central,Closed Won,2025-02-16,14170.58,EUR
OPP-00262,C0101,Export,Closed Won,2025-08-10,7260.09,USD
OPP-00263,C0047,Export,Open,2025-07-28,61560.24,EUR
OPP-00264,C0118,Export,Closed Won,2025-05-05,19069.42,GBP
OPP-00265,C0069,North,Open,2025-04-17,26738.07,EUR
OPP-00266,C0096,South,Closed Lost,2025-03-27,8977.25,USD
OPP-00267,C0075,Central,Open,2025-02-10,14816.38,USD
OPP-00268,C0057,Export,Closed Won,2025-03-20,27436.12,EUR
OPP-00269,C0065,Central,Closed Won,2025-08-10,30543.89,EUR
OPP-00270,C0053,Export,Closed Lost,2025-11-06,22255.63,GBP
OPP-00271,C0092,South,Closed Won,2025-03-19,31756.86,EUR
OPP-00272,C0113,Export,Open,2025-06-03,58958.46,EUR
OPP-00273,C0059,Export,Closed Won,2025-12-03,10163.11,GBP
OPP-00274,C0077,Export,Closed Won,2025-08-31,77769.77,EUR
OPP-00275,C0034,South,Closed Won,2025-06-25,24992.8,USD
OPP-00276,C0052,North,Closed Won,2025-03-27,28667.51,EUR
OPP-00277,C0080,Export,Closed Won,2025-12-30,14799.79,EUR
OPP-00278,C0098,Export,Closed Won,2025-01-23,10381.9,USD
OPP-00279,C0090,North,Closed Won,2025-05-07,26651.72,GBP
OPP-00280,C0088,South,Closed Won,2025-04-03,20466.11,EUR
OPP-00281,C0048,South,Closed Won,2025-04-06,33892.89,GBP
OPP-00282,C0101,Export,Closed Won,2025-03-25,33855.53,USD
OPP-00283,C0030,North,Closed Won,2025-04-22,12705.74,EUR
OPP-00284,C0051,Central,Closed Lost,2025-06-18,44284.23,EUR
OPP-00285,C0090,North,Closed Won,2025-06-25,17374.83,GBP
OPP-00286,C0022,South,Closed Won,2025-05-13,6154.66,USD
OPP-00287,C0023,Export,Closed Won,2025-04-01,50358.55,EUR
OPP-00288,C0109,North,Closed Lost,2025-03-02,67401.17,EUR
OPP-00289,C0112,Export,Closed Won,2025-01-27,11074.39,EUR
OPP-00290,C0053,Export,Open,2025-11-16,57251.86,GBP
OPP-00291,C0095,South,Closed Won,2025-09-01,6037.31,USD
OPP-00292,C0049,North,Closed Won,2025-10-18,11903.89,EUR
OPP-00293,C0028,South,Closed Lost,2025-01-27,14028.06,EUR
OPP-00294,C0081,Central,Closed Lost,2025-11-05,31757.01,EUR
OPP-00295,C0038,Central,Closed Won,2025-10-19,22795.96,EUR
OPP-00296,C0067,Central,Closed Won,2025-03-06,8982.73,USD
OPP-00297,C0114,Central,Closed Won,2025-01-26,17329.06,USD
OPP-00298,C0022,South,Closed Lost,2025-12-09,20446.61,USD
OPP-00299,C0093,Export,Closed Won,2025-02-28,13930.63,EUR
OPP-00300,C0098,Export,Open,2025-07-09,44837.54,USD
OPP-00301,C0119,South,Closed Won,2025-06-24,34168.38,EUR
OPP-00302,C0089,Central,Closed Won,2025-11-21,55278.9,EUR
OPP-00303,C0026,North,Closed Won,2025-03-23,16446.23,GBP
OPP-00304,C0041,Export,Closed Won,2025-09-08,13500.79,EUR
OPP-00305,C0053,Export,Closed Lost,2025-06-16,16143.87,GBP
OPP-00306,C0078,Central,Open,2025-02-12,33677.82,GBP
OPP-00307,C0030,North,Closed Won,2025-12-31,25888.28,EUR
OPP-00308,C0088,South,Closed Won,2025-02-06,21619.5,EUR
OPP-00309,C0035,North,Closed Lost,2025-03-29,20564.87,EUR
OPP-00310,C0077,Export,Closed Won,2025-04-04,28424.85,EUR
OPP-00311,C0062,Central,Closed Won,2025-05-13,33752.47,EUR
OPP-00312,C0011,Central,Closed Won,2025-02-13,61258.3,EUR
OPP-00313,C0074,Central,Closed Lost,2025-11-03,34980.41,EUR
OPP-00314,C0028,South,Closed Lost,2025-07-10,15039.89,EUR
OPP-00315,C0065,Central,Closed Won,2025-10-29,57478.18,EUR
OPP-00316,C0007,South,Closed Won,2025-11-30,38259.0,EUR
OPP-00317,C0075,Central,Closed Won,2025-04-30,27928.99,USD
OPP-00318,C0029,South,Closed Won,2025-11-12,16549.36,EUR
OPP-00319,C0030,North,Closed Lost,2025-04-21,22799.35,EUR
OPP-00320,C0096,South,Closed Lost,2025-03-15,45535.96,USD
OPP-00321,C0116,South,Open,2025-02-28,12455.34,EUR
OPP-00322,C0043,South,Closed Won,2025-08-03,16525.36,EUR
OPP-00323,C0074,Central,Closed Won,2025-11-16,25272.59,EUR
OPP-00324,C0094,North,Closed Lost,2025-04-07,53743.19,GBP
OPP-00325,C0041,Export,Closed Won,2025-12-26,22105.45,EUR
OPP-00326,C0086,Central,Closed Won,2025-08-16,17194.55,GBP
OPP-00327,C0104,South,Closed Won,2025-11-12,49569.93,EUR
OPP-00328,C0090,North,Closed Won,2025-07-27,18540.0,GBP
OPP-00329,C0064,Export,Closed Lost,2025-10-08,7971.28,EUR
OPP-00330,C0049,North,Open,2025-01-14,29702.71,EUR
OPP-00331,C0086,Central,Closed Lost,2025-12-17,101929.35,GBP
OPP-00332,C0015,South,Closed Won,2025-06-10,23986.17,EUR
OPP-00333,C0007,South,Closed Won,2025-05-04,13241.63,EUR
OPP-00334,C0082,Central,Closed Won,2025-12-26,10542.1,EUR
OPP-00335,C0023,Export,Closed Won,2025-02-02,59227.92,EUR
OPP-00336,C0064,Export,Closed Won,2025-10-03,27619.19,EUR
OPP-00337,C0037,Central,Closed Won,2025-08-30,18740.5,EUR
OPP-00338,C0021,North,Closed Won,2025-06-13,29084.05,USD
OPP-00339,C0091,South,Closed Lost,2025-03-22,43038.9,EUR
OPP-00340,C0040,South,Closed Lost,2025-11-03,33512.48,EUR
OPP-00341,C0025,South,Closed Won,2025-04-14,17443.76,EUR
OPP-00342,C0119,South,Closed Won,2025-07-11,89050.67,EUR
OPP-00343,C0067,Central,Closed Won,2025-12-05,11809.5,USD
OPP-00344,C0082,Central,Closed Won,2025-01-13,11479.26,EUR
OPP-00345,C0053,Export,Closed Lost,2025-10-08,21640.2,GBP
OPP-00346,C0056,North,Closed Lost,2025-07-30,88810.86,EUR
OPP-00347,C0057,Export,Closed Won,2025-09-28,10480.15,EUR
OPP-00348,C0073,South,Closed Lost,2025-02-03,28761.91,EUR
OPP-00349,C0081,Central,Open,2025-06-11,62882.21,EUR
OPP-00350,C0060,Central,Open,2025-07-14,33225.95,EUR
OPP-00351,C0052,North,Closed Won,2025-03-19,32587.68,EUR
OPP-00352,C0089,Central,Closed Won,2025-03-18,24254.3,EUR
OPP-00353,C0021,North,Closed Won,2025-03-11,21739.83,USD
OPP-00354,C0092,South,Closed Won,2025-03-29,26892.58,EUR
OPP-00355,C0044,Export,Closed Won,2025-12-23,26769.49,EUR
OPP-00356,C0077,Export,Open,2025-07-01,37751.77,EUR
OPP-00357,C0119,South,Closed Won,2025-09-26,46095.26,EUR
OPP-00358,C0064,Export,Closed Lost,2025-03-10,49137.16,EUR
OPP-00359,C0029,South,Open,2025-12-29,45391.97,EUR
OPP-00360,C0109,North,Closed Won,2025-01-10,35962.48,EUR
OPP-00361,C0061,South,Closed Won,2025-05-13,75719.82,EUR
OPP-00362,C0040,South,Closed Won,2025-06-06,9431.77,EUR
OPP-00363,C0028,South,Closed Lost,2025-12-18,20554.08,EUR
OPP-00364,C0118,Export,Closed Won,2025-04-08,21817.41,GBP
OPP-00365,C0002,Export,Closed Won,2025-01-25,55860.92,EUR
OPP-00366,C0063,South,Closed Won,2025-08-21,72313.0,EUR
OPP-00367,C0108,Central,Closed Won,2025-07-06,43259.27,EUR
OPP-00368,C0019,Export,Closed Won,2025-10-21,17477.42,EUR
OPP-00369,C0115,South,Closed Won,2025-07-10,95438.77,EUR
OPP-00370,C0027,Central,Closed Won,2025-02-10,19540.28,EUR
OPP-00371,C0053,Export,Closed Won,2025-03-19,30938.12,GBP
OPP-00372,C0086,Central,Closed Won,2025-11-15,12138.7,GBP
OPP-00373,C0006,South,Closed Won,2025-07-15,36942.32,EUR
OPP-00374,C0099,North,Open,2025-06-07,41029.88,EUR
OPP-00375,C0064,Export,Open,2025-01-17,27519.75,EUR
OPP-00376,C0115,South,Closed Lost,2025-09-30,36491.0,EUR
OPP-00377,C0028,South,Closed Won,2025-12-25,3491.16,EUR
OPP-00378,C0010,North,Closed Won,2025-06-13,55146.23,EUR
OPP-00379,C0089,Central,Closed Won,2025-09-22,7008.98,EUR
OPP-00380,C0062,Central,Closed Won,2025-12-31,13199.62,EUR
OPP-00381,C0117,South,Closed Won,2025-03-23,14702.46,USD
OPP-00382,C0012,Central,Closed Lost,2025-03-21,11928.02,EUR
OPP-00383,C0046,South,Closed Won,2025-08-20,11023.31,EUR
OPP-00384,C0084,Central,Open,2025-07-05,7615.95,USD
OPP-00385,C0081,Central,Closed Won,2025-09-10,109171.37,EUR
OPP-00386,C0035,North,Closed Won,2025-01-27,31279.3,EUR
OPP-00387,C0054,North,Open,2025-04-20,17850.09,EUR
OPP-00388,C0043,South,Closed Won,2025-11-09,22804.4,EUR
OPP-00389,C0066,South,Closed Won,2025-04-07,46984.87,EUR
OPP-00390,C0033,Export,Closed Won,2025-04-21,10527.55,USD
OPP-00391,C0050,Central,Closed Won,2025-01-11,30316.2,EUR
OPP-00392,C0001,Central,Closed Won,2025-05-07,21962.4,EUR
OPP-00393,C0091,South,Closed Won,2025-05-23,35366.05,EUR
OPP-00394,C0039,North,Closed Won,2025-01-08,35397.9,EUR
OPP-00395,C0076,South,Open,2025-12-31,19606.85,USD
OPP-00396,C0044,Export,Closed Won,2025-06-17,10063.25,EUR
OPP-00397,C0010,North,Closed Lost,2025-06-16,11101.33,EUR
